# w mse
3.000000000000000000e+00 1.502293680468107587e-02
5.000000000000000000e+00 1.319723209732178923e-02
9.000000000000000000e+00 1.240514420946943822e-02
1.700000000000000000e+01 1.609639371859000398e-02
3.300000000000000000e+01 2.797482030954689947e-02
6.500000000000000000e+01 5.774922421385478288e-02
1.290000000000000000e+02 1.266462718292208911e-01
2.570000000000000000e+02 2.828175996967722261e-01
5.130000000000000000e+02 5.974483150605321979e-01
1.025000000000000000e+03 1.307200439187624852e+00
2.049000000000000000e+03 2.521345736017579053e+00
4.097000000000000000e+03 4.126038531483709804e+00
8.193000000000000000e+03 3.801118630474631388e+00
1.638500000000000000e+04 4.079962489539584070e+00
