# rg size
7.774529349099561504e-01 2.000000000000000000e+00
1.184530723822852849e+00 5.000000000000000000e+00
7.722478069463601935e-01 2.000000000000000000e+00
7.697983898355279520e-01 2.000000000000000000e+00
7.744081638043260885e-01 2.000000000000000000e+00
1.052633355359617884e+00 3.000000000000000000e+00
1.360315873084826377e+00 8.000000000000000000e+00
1.198667281940100304e+00 3.000000000000000000e+00
7.194499567957599595e-01 2.000000000000000000e+00
1.197815864659762086e+00 3.000000000000000000e+00
1.520430364569574699e+01 2.000000000000000000e+00
7.084972613449803669e-01 2.000000000000000000e+00
7.275786930270091712e-01 2.000000000000000000e+00
1.098868290864166708e+00 3.000000000000000000e+00
1.148115723490432671e+00 3.000000000000000000e+00
7.121451845656366908e-01 2.000000000000000000e+00
7.091924189644714938e-01 2.000000000000000000e+00
9.479150104576461899e+00 1.070000000000000000e+02
7.500744343508770617e-01 2.000000000000000000e+00
7.349658882107770186e-01 2.000000000000000000e+00
7.262805644747571954e-01 2.000000000000000000e+00
1.176448192381557689e+01 2.000000000000000000e+00
7.360715073167301004e-01 2.000000000000000000e+00
6.681442725941577621e-01 2.000000000000000000e+00
7.232972341645663716e-01 2.000000000000000000e+00
7.876870616987312612e-01 2.000000000000000000e+00
7.351139833953472813e-01 2.000000000000000000e+00
1.221728257316785360e+00 6.000000000000000000e+00
8.392279512879655679e-01 3.000000000000000000e+00
1.102688305860640483e+00 3.000000000000000000e+00
8.075163654163221016e-01 3.000000000000000000e+00
7.414292857945156134e-01 2.000000000000000000e+00
9.007240551360897740e-01 4.000000000000000000e+00
1.474559304940425264e+01 6.000000000000000000e+00
1.351466551084738121e+01 4.000000000000000000e+00
7.542642177645886292e-01 2.000000000000000000e+00
6.726620590856802195e-01 2.000000000000000000e+00
1.095705241710871913e+00 4.000000000000000000e+00
1.124505947515487669e+01 3.000000000000000000e+00
7.383378420253940977e-01 2.000000000000000000e+00
7.187788016955578563e-01 2.000000000000000000e+00
1.085599824476654263e+00 3.000000000000000000e+00
7.697003256355199330e-01 2.000000000000000000e+00
8.027910585265606302e-01 2.000000000000000000e+00
7.292121900381740573e-01 2.000000000000000000e+00
7.541327852795484121e-01 2.000000000000000000e+00
1.114299948450287836e+01 1.960000000000000000e+02
7.809074227035092131e-01 2.000000000000000000e+00
7.688248639970889364e-01 2.000000000000000000e+00
1.885707270628768306e+00 6.000000000000000000e+00
7.585622866098562511e-01 2.000000000000000000e+00
7.430619877689044195e-01 2.000000000000000000e+00
7.516533836706323912e-01 2.000000000000000000e+00
1.141126671775554380e+00 3.000000000000000000e+00
1.113181511265115553e+00 3.000000000000000000e+00
7.475442126614468830e-01 2.000000000000000000e+00
1.110676918295449012e+00 4.000000000000000000e+00
8.742607822573191800e-01 3.000000000000000000e+00
1.201809437061884012e+01 2.000000000000000000e+00
7.616267259408977530e-01 2.000000000000000000e+00
7.441432025045863208e-01 2.000000000000000000e+00
7.489607203764694354e-01 2.000000000000000000e+00
6.799751962388831394e-01 2.000000000000000000e+00
1.513630362471701574e+01 5.000000000000000000e+00
7.477719512948790559e-01 2.000000000000000000e+00
7.338236513525464577e-01 2.000000000000000000e+00
9.703663491544747277e-01 3.000000000000000000e+00
1.141524700831149985e+00 3.000000000000000000e+00
7.579801316662649890e-01 2.000000000000000000e+00
7.047457631420734891e-01 2.000000000000000000e+00
7.198319903515069118e-01 2.000000000000000000e+00
7.773084174466690088e-01 2.000000000000000000e+00
7.810942709857410238e-01 2.000000000000000000e+00
7.304111324003337291e-01 2.000000000000000000e+00
7.490604138966755476e-01 2.000000000000000000e+00
1.199913665752388781e+00 3.000000000000000000e+00
8.629192881876669441e-01 3.000000000000000000e+00
