# w mse
3.000000000000000000e+00 5.837450044438309039e-03
5.000000000000000000e+00 3.595737175220904518e-03
9.000000000000000000e+00 5.001053111932993352e-03
1.700000000000000000e+01 1.059403025807334475e-02
3.300000000000000000e+01 2.839947725022739372e-02
6.500000000000000000e+01 7.349793039247701221e-02
1.290000000000000000e+02 1.770258317593578212e-01
2.570000000000000000e+02 4.048294181021689364e-01
5.130000000000000000e+02 8.913521100030177280e-01
1.025000000000000000e+03 1.984668669714789946e+00
2.049000000000000000e+03 4.371983782351872350e+00
4.097000000000000000e+03 8.674366528033498724e+00
8.193000000000000000e+03 1.114065694764270198e+01
1.638500000000000000e+04 7.601341113542780192e+00
3.276900000000000000e+04 1.054509475255341755e+01
