# w mse
3.000000000000000000e+00 5.294641679181517901e-02
5.000000000000000000e+00 1.095793862954298759e-01
9.000000000000000000e+00 2.570659678681581073e-01
1.700000000000000000e+01 5.558371484844475408e-01
3.300000000000000000e+01 1.143224319540932843e+00
6.500000000000000000e+01 2.268499905795882121e+00
1.290000000000000000e+02 4.329438322110415349e+00
2.570000000000000000e+02 7.998234639927004785e+00
5.130000000000000000e+02 1.540995805630518589e+01
1.025000000000000000e+03 2.446198972931779991e+01
2.049000000000000000e+03 3.893335821925585805e+01
