# w mse
3.000000000000000000e+00 1.008007207511017224e-02
5.000000000000000000e+00 2.143356595819688459e-02
9.000000000000000000e+00 5.325868946417479377e-02
1.700000000000000000e+01 1.262079003569301638e-01
3.300000000000000000e+01 2.871887613527009941e-01
6.500000000000000000e+01 6.432032057231977795e-01
1.290000000000000000e+02 1.384975577262480551e+00
2.570000000000000000e+02 2.849972201254492354e+00
5.130000000000000000e+02 5.504631184303682367e+00
1.025000000000000000e+03 1.032827246868833448e+01
2.049000000000000000e+03 1.894777733622046867e+01
4.097000000000000000e+03 2.513415067522491597e+01
8.193000000000000000e+03 2.869213738057511875e+01
