# w mse
3.000000000000000000e+00 7.352245079253162501e-03
5.000000000000000000e+00 3.854055356546784179e-03
9.000000000000000000e+00 4.257630560252997735e-03
1.700000000000000000e+01 6.027914741379721171e-03
3.300000000000000000e+01 1.057598785925978162e-02
6.500000000000000000e+01 2.204052375316646953e-02
1.290000000000000000e+02 5.014124525690753092e-02
2.570000000000000000e+02 1.165126500425930633e-01
5.130000000000000000e+02 2.698201360899851187e-01
1.025000000000000000e+03 5.900932009873827155e-01
2.049000000000000000e+03 1.266243644691160020e+00
4.097000000000000000e+03 2.471189390631503002e+00
8.193000000000000000e+03 4.208365188821098890e+00
1.638500000000000000e+04 5.691531762984323173e+00
3.276900000000000000e+04 6.881758741482227215e+00
