# theta phi
9.574942691416349305e+01 1.608849694619690851e+01
9.648050001899207473e+01 1.330221638996334832e+02
-8.425057308583650695e+01 1.639115030538031021e+02
-8.351949998100792527e+01 4.697783610036651680e+01
-7.654046087790928254e+01 1.642616151062698009e+02
9.519822782627541358e+01 1.234474601215720782e+02
1.034595391220907175e+02 1.573838489373020444e+01
-8.480177217372457221e+01 5.655253987842790764e+01
3.981082826397571495e+01 1.059778547597636305e+02
6.544402547114972890e+01 4.525904238579525440e+01
2.293478827488093952e+00 2.193099336081959905e+01
-1.401891717360242922e+02 7.402214524023638376e+01
-1.145559745288502995e+02 1.347409576142047456e+02
-1.777065211725119127e+02 1.580690066391804010e+02
-1.224318242946442092e+00 3.050827275885980328e+01
1.787756817570535475e+02 1.494917272411401825e+02
1.822309566522037350e-01 8.969209187203333045e+01
-1.798177690433477949e+02 9.030790812796666955e+01
-1.436912694133792172e+02 1.311073859751801365e+02
3.630873058662080410e+01 4.889261402481986352e+01
