# w mse
3.000000000000000000e+00 1.064317236824473788e-02
5.000000000000000000e+00 8.851650369425558690e-03
9.000000000000000000e+00 1.111989416958463449e-02
1.700000000000000000e+01 2.174661347861740063e-02
3.300000000000000000e+01 5.480430531881253647e-02
6.500000000000000000e+01 1.465807665893431588e-01
1.290000000000000000e+02 3.718202750906455800e-01
2.570000000000000000e+02 8.490491778830097092e-01
5.130000000000000000e+02 1.647182458362282498e+00
1.025000000000000000e+03 2.587509185018100233e+00
2.049000000000000000e+03 3.848058141260471743e+00
4.097000000000000000e+03 4.983068043725404905e+00
8.193000000000000000e+03 6.453249731294651070e+00
1.638500000000000000e+04 8.602285439421516244e+00
