# w mse
3.000000000000000000e+00 1.336275638860058221e-03
5.000000000000000000e+00 5.312601447746506667e-03
9.000000000000000000e+00 2.096992622192186267e-02
1.700000000000000000e+01 8.140580164708174915e-02
3.300000000000000000e+01 3.099333276585714003e-01
6.500000000000000000e+01 1.133103070711914073e+00
1.290000000000000000e+02 3.859728546754011447e+00
2.570000000000000000e+02 1.239445411535294106e+01
5.130000000000000000e+02 3.279168499918986157e+01
1.025000000000000000e+03 5.328680273464812700e+01
2.049000000000000000e+03 6.336836850689120126e+01
