# w mse
3.000000000000000000e+00 3.573515238650215131e-04
5.000000000000000000e+00 1.372482583886590508e-03
9.000000000000000000e+00 5.053744456225724505e-03
1.700000000000000000e+01 1.771454762578539288e-02
3.300000000000000000e+01 6.173327006974130976e-02
6.500000000000000000e+01 2.230212583582306674e-01
1.290000000000000000e+02 8.066667570261153442e-01
2.570000000000000000e+02 2.841554537066803388e+00
5.130000000000000000e+02 8.787484817393364622e+00
1.025000000000000000e+03 1.849157113787682150e+01
2.049000000000000000e+03 2.624357446579955422e+01
