# prediction	actual
3.284287807164840256e+00 3.690335054095286171e+00
3.259902886510094522e+00 3.812443702954031899e+00
7.218624831439292677e+00 6.344651659622594586e+00
2.854608012198077471e+00 3.505769615823342455e+00
4.122508470790337221e+00 3.903508142008825565e+00
4.763660027315361312e+00 3.748438833752159027e+00
7.308882681356494437e+00 5.727827871138460480e+00
5.010033819130399024e+00 4.242368547653183164e+00
2.752722029348285027e+00 4.273685441879366387e+00
6.984374889375127182e+00 3.967438122161307312e+00
2.924566433081795314e+00 3.998275597746632659e+00
2.014265083516113997e+00 4.010923756035633225e+00
3.159179872929240407e+00 3.957917333543949923e+00
3.956315351415370163e+00 3.727114940879040272e+00
2.850319717098922290e+00 4.119942876072631321e+00
4.882654902198896529e+00 3.783294421117186168e+00
3.106269836055552513e+00 3.090961000746426102e+00
2.328566470459909610e+00 4.270993374421275135e+00
6.281557332262140747e+00 4.262044879409157438e+00
2.850192767596215315e+00 3.956578830711853456e+00
2.738300800549685832e+00 2.814363358253623826e+00
6.497423965801779389e+00 3.657933627136542132e+00
4.787459543084366054e+00 4.686811240324759709e+00
1.967632758227317868e+00 4.333686701184894297e+00
7.184995643029400192e+00 4.558656915417709676e+00
4.035615288199211115e+00 3.673326260860869663e+00
3.309526522849130181e+00 3.063734566100206891e+00
6.383094477133302469e+00 3.744246857200632661e+00
3.229298443410532737e+00 2.961358116917992778e+00
4.830229542183141156e+00 3.746808173111400020e+00
3.245502093377227837e+00 3.729052106151375501e+00
2.749833779753297680e+00 3.914005131820151639e+00
2.325509181510599710e+00 3.223400894597139743e+00
4.450912466297799241e+00 3.322685848580127832e+00
2.320194957044763306e+00 3.570076681129903395e+00
3.664601729256014462e+00 3.780390860224260852e+00
2.435963511312377427e+00 3.910066588455724190e+00
3.191949014969623910e+00 3.895356573508392373e+00
3.843554194246137090e+00 3.407951849184395421e+00
3.458238313050575830e+00 3.157663483031518670e+00
5.924020699024130643e+00 2.883337187620719222e-01
3.254220533585151287e+00 3.023389576873741991e+00
2.794714190993516478e+00 3.803054582514507675e+00
4.184605167632813760e+00 3.830326660758977653e+00
2.445335487755454285e+00 3.755053922313129178e+00
4.843704292440154546e+00 3.772668856634103562e+00
2.033687972761018870e+00 4.050236120974967768e+00
2.961764021656040580e+00 3.379159093826877402e+00
3.439646370719928292e+00 3.453876890427325819e+00
5.679393881878247896e+00 3.439241167778175789e+00
2.400571477174240798e+00 3.897957221980955733e+00
2.810003384475235233e+00 3.672153503686508724e+00
4.897248301111560842e+00 3.031235564958135509e+00
3.084386238242343925e+00 3.863216838455009405e+00
1.966851853246778692e+00 2.824045124897005543e-01
3.216065363391741538e+00 5.083115006958639270e+00
6.941393905424425803e+00 3.839514311018630277e+00
5.080422622231807850e+00 3.417163753046907448e+00
3.223643543898749630e+00 3.229260203591801215e+00
3.190821613872682150e+00 2.946265338968856451e+00
7.017416788965200602e+00 4.366991325427963311e+00
3.106162352448034181e+00 4.060583509196399987e+00
2.515732174755966888e+00 3.807965607509184114e+00
3.329188296380669154e+00 3.277773348158591560e+00
5.682032081582869765e+00 3.437947417130777783e+00
2.141349560496454529e+00 4.121406619474136335e+00
4.052784019911095825e+00 3.785449409702051682e+00
4.865009784174296747e+00 3.737209795894355313e+00
1.551272005082605210e+00 3.137463481861753056e+00
4.903809737454283280e+00 3.842408279476488886e+00
5.606163516662157065e+00 3.455586963555443702e+00
6.779340468762052652e+00 3.844850375401914544e+00
4.079774170455016780e+00 3.713146888728256378e+00
2.225192082018019768e+00 3.846401278763549758e+00
2.214201478923115474e+00 3.038842024160522737e+00
3.579933455764511940e+00 3.272263869239816714e+00
5.342746061942640345e+00 3.432285448850413978e+00
6.576952394847029204e+00 4.143475094531124725e+00
3.238064655498942734e+00 4.026227824393116883e+00
6.688383279884301480e+00 7.320892977564134263e+00
4.046829461139767936e+00 3.705568770476296514e+00
3.295954436190346559e+00 3.935807035330582959e+00
5.658900153052569770e+00 3.587231009911910462e+00
2.849197914945858834e+00 3.948405984746010677e+00
5.361857014153144974e+00 3.994175265705184774e+00
