# w mse
3.000000000000000000e+00 3.395212638137269038e-03
5.000000000000000000e+00 4.324770570987549259e-03
9.000000000000000000e+00 6.941586595390116139e-03
1.700000000000000000e+01 1.127418206668709746e-02
3.300000000000000000e+01 2.816669452859780695e-02
6.500000000000000000e+01 7.601507462950647664e-02
1.290000000000000000e+02 2.013010633566115759e-01
2.570000000000000000e+02 5.548862173982750390e-01
5.130000000000000000e+02 1.256015235328396207e+00
1.025000000000000000e+03 1.908639609979645879e+00
2.049000000000000000e+03 2.731401362214634698e+00
4.097000000000000000e+03 4.248891135970091604e+00
8.193000000000000000e+03 6.629451153501314309e+00
