# prediction	actual
3.746951473450965242e+00 3.681811164556803018e+00
4.405161230551556173e+00 4.409172664851952028e+00
3.841024913599472956e+00 3.793041843959469084e+00
6.214030604299227711e+00 6.195885247527186834e+00
3.490965735148495952e+00 3.465034659857385790e+00
4.224023525274938073e+00 4.221373640165193564e+00
5.465600797347772044e+00 5.694226540582359775e+00
4.173533988043720555e+00 4.222804740472406948e+00
3.202611238217137668e+00 3.232285469936038602e+00
3.359059041978012417e+00 3.375973658181730119e+00
3.985830289448386132e+00 4.006021756661515276e+00
3.679659564445215025e+00 3.699637104975054047e+00
4.019912057649496440e+00 3.911452764115963543e+00
3.538482465707405211e+00 3.532636517764944362e+00
2.133817810015148364e+00 2.027716242157711513e+00
3.653721593683319835e+00 3.739548530749129185e+00
4.269903192046736073e+00 4.249984191473645367e+00
4.244571366782858846e+00 4.358704447887578048e+00
3.893501390986188859e+00 3.917940007122993062e+00
3.935083072929355552e+00 3.968800415778958701e+00
3.864929888668100055e+00 3.803167256938599472e+00
3.464013332302803061e+00 3.434427591465501362e+00
2.873221122907362979e+00 2.810038854651471407e+00
3.573455313511684661e+00 3.640035962891302823e+00
4.349784322561416339e+00 4.650781501847242261e+00
3.769638592682718503e+00 3.851983199956192649e+00
4.320817333399895155e+00 4.523530704001236913e+00
3.621974592298712992e+00 3.626867043978168059e+00
3.099346573899700807e+00 3.067333863696164897e+00
3.457569556447727788e+00 3.430931850127194593e+00
3.718313870370451468e+00 3.748471079106184600e+00
3.722812780818852030e+00 3.726659419722454292e+00
3.534869645764524115e+00 3.518819819071746569e+00
1.090964516449637101e+00 1.027991294971161818e+00
3.957071236849388107e+00 3.888610708310132225e+00
3.159567482705694985e+00 3.209983758284795652e+00
3.305961667201476217e+00 3.299482816511762895e+00
4.310966527146242733e+00 4.478251998837784242e+00
3.612795915989845508e+00 3.570762652712862639e+00
3.875918310359118379e+00 3.901221589162959358e+00
3.886439604496621847e+00 3.824965999584478915e+00
3.926181117795957132e+00 3.845827599907199801e+00
3.559514909351510603e+00 3.565148713304572059e+00
3.427117020997514363e+00 3.412733221941545825e+00
3.140494911677145229e+00 3.131207209053608498e+00
3.190733873305058310e+00 3.157253867479946408e+00
3.702949042816421343e+00 3.830488355188061522e+00
3.108945946127911863e+00 3.029099091116565390e+00
3.011341365522621327e+00 2.989694061937422376e+00
3.745041121705044773e+00 3.780228292493508224e+00
3.809911655335700864e+00 3.759523490668829293e+00
3.661722124995136163e+00 3.751232223724805692e+00
4.018015419195062776e+00 4.033682075397326372e+00
3.121392133223915621e+00 3.064859583397131715e+00
3.386678512897846716e+00 3.425561733358235550e+00
3.940077501444586794e+00 3.878775097980424302e+00
3.598730024246952652e+00 3.626602714992221088e+00
3.744121402098607110e+00 3.826076223394465625e+00
3.042151027671037511e+00 2.944723128566642423e+00
3.894712281314072211e+00 3.828651265060597275e+00
3.563717317463395151e-01 2.869180633709405570e-01
4.379930863584984735e+00 4.396802880889693732e+00
3.132299417481380743e+00 3.157818085400754260e+00
3.004847016106728219e+00 2.922883697576321715e+00
3.323210402888474135e+00 3.347585805158487915e+00
3.411460911957880704e+00 3.479444415799275436e+00
3.073598703017323963e+00 3.036126332405505224e+00
3.977931627485957300e+00 3.933735083149874079e+00
4.066149891056979548e+00 4.122042874818707681e+00
3.765905810814646149e+00 3.759008444714111885e+00
3.686198516878107956e+00 3.742418739435048991e+00
3.771052303791245119e+00 3.877862876881004173e+00
3.879628835158562605e+00 3.884583106374703831e+00
4.155369348589141865e+00 4.111688752608849917e+00
3.569835467833861298e+00 3.598582749193099062e+00
3.371446757900715685e+00 3.370917997369008212e+00
3.647870513049470631e+00 3.698429642049224420e+00
3.672972316398139814e+00 3.669672026242521312e+00
3.885867680791538437e+00 3.852758047103109096e+00
3.187480916266323572e+00 3.238799383589287650e+00
2.928733082520379227e+00 2.846215625669580085e+00
3.981022287539112359e+00 3.967354757463628090e+00
3.400316221244550796e+00 3.423459119187918898e+00
3.826116110815401594e+00 4.054178237421810493e+00
3.053317127521747221e+00 3.006795820065230718e+00
3.668243283298850077e+00 3.676891574960233111e+00
3.692094857302830935e+00 3.650778075895758867e+00
3.565017135685175642e+00 3.565937302788890317e+00
4.015360782761903558e+00 3.941652964615919963e+00
3.543060378904770324e+00 3.497202946609506924e+00
4.017201991583280396e+00 3.926437080608627728e+00
