# w mse
3.000000000000000000e+00 1.501605429485314801e-02
5.000000000000000000e+00 2.846655934022237697e-02
9.000000000000000000e+00 6.364347109435629368e-02
1.700000000000000000e+01 1.421635791659192072e-01
3.300000000000000000e+01 3.128082517201354884e-01
6.500000000000000000e+01 6.734049744900081347e-01
1.290000000000000000e+02 1.400015409824625356e+00
2.570000000000000000e+02 3.078153077330557430e+00
5.130000000000000000e+02 6.634049667462094568e+00
1.025000000000000000e+03 1.308579890994470496e+01
2.049000000000000000e+03 2.053552548166565117e+01
4.097000000000000000e+03 2.455277723122685529e+01
8.193000000000000000e+03 2.813085093606961706e+01
