# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
6.325e-01	9.080e-04
1.381e+00	1.812e-03
2.515e+00	2.722e-03
3.872e+00	3.632e-03
3.458e+00	4.536e-03
4.074e+00	5.439e-03
3.910e+00	5.439e-03
3.766e+00	5.442e-03
7.278e+00	4.491e-02
1.308e+01	8.495e-02
1.784e+01	1.249e-01
2.305e+01	1.656e-01
2.719e+01	2.052e-01
3.208e+01	2.459e-01
3.668e+01	2.865e-01
4.088e+01	3.264e-01
4.465e+01	3.671e-01
4.933e+01	4.067e-01
5.162e+01	4.482e-01
5.379e+01	4.886e-01
5.625e+01	5.287e-01
5.949e+01	5.708e-01
6.326e+01	6.104e-01
6.805e+01	6.505e-01
7.032e+01	6.902e-01
7.197e+01	7.297e-01
7.279e+01	7.706e-01
7.553e+01	8.107e-01
7.719e+01	8.511e-01
7.888e+01	8.907e-01
8.043e+01	9.305e-01
8.253e+01	9.703e-01
8.408e+01	1.010e+00
8.568e+01	1.052e+00
8.718e+01	1.091e+00
8.742e+01	1.131e+00
9.034e+01	1.171e+00
9.228e+01	1.211e+00
9.379e+01	1.251e+00
9.442e+01	1.290e+00
9.520e+01	1.331e+00
9.612e+01	1.370e+00
9.816e+01	1.410e+00
9.936e+01	1.450e+00
1.009e+02	1.490e+00
1.015e+02	1.530e+00
1.027e+02	1.570e+00
1.031e+02	1.610e+00
1.034e+02	1.651e+00
1.045e+02	1.691e+00
1.051e+02	1.731e+00
1.055e+02	1.771e+00
1.068e+02	1.812e+00
1.078e+02	1.852e+00
1.082e+02	1.892e+00
1.093e+02	1.933e+00
1.099e+02	1.973e+00
1.107e+02	2.013e+00
1.115e+02	2.053e+00
1.130e+02	2.093e+00
1.134e+02	2.133e+00
1.145e+02	2.173e+00
1.157e+02	2.213e+00
1.166e+02	2.254e+00
1.175e+02	2.294e+00
1.180e+02	2.335e+00
1.183e+02	2.375e+00
1.192e+02	2.415e+00
1.196e+02	2.454e+00
1.202e+02	2.495e+00
1.213e+02	2.535e+00
1.216e+02	2.575e+00
1.223e+02	2.615e+00
1.232e+02	2.656e+00
1.238e+02	2.696e+00
1.243e+02	2.735e+00
1.249e+02	2.775e+00
1.255e+02	2.816e+00
1.260e+02	2.855e+00
1.271e+02	2.895e+00
1.277e+02	2.935e+00
1.287e+02	2.975e+00
1.289e+02	3.015e+00
1.297e+02	3.056e+00
1.301e+02	3.097e+00
1.308e+02	3.137e+00
1.313e+02	3.177e+00
1.326e+02	3.217e+00
1.333e+02	3.257e+00
1.339e+02	3.297e+00
1.345e+02	3.337e+00
1.351e+02	3.377e+00
1.361e+02	3.417e+00
1.370e+02	3.457e+00
1.380e+02	3.497e+00
1.389e+02	3.537e+00
1.400e+02	3.577e+00
1.410e+02	3.617e+00
1.418e+02	3.657e+00
1.428e+02	3.697e+00
1.443e+02	3.737e+00
1.453e+02	3.777e+00
1.463e+02	3.817e+00
1.475e+02	3.857e+00
1.487e+02	3.897e+00
