# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
5.570e-01	9.200e-04
8.867e-01	1.841e-03
1.439e+00	2.764e-03
1.313e+00	3.683e-03
1.498e+00	4.604e-03
1.922e+00	5.524e-03
2.140e+00	6.439e-03
2.111e+00	7.357e-03
2.460e+00	8.278e-03
2.341e+00	9.196e-03
2.366e+00	9.196e-03
2.386e+00	9.197e-03
3.189e+00	2.423e-02
4.906e+00	3.942e-02
6.184e+00	5.437e-02
9.462e+00	6.987e-02
1.348e+01	8.568e-02
1.730e+01	1.005e-01
1.786e+01	1.164e-01
2.110e+01	1.323e-01
2.295e+01	1.472e-01
2.414e+01	1.623e-01
2.614e+01	1.772e-01
2.838e+01	1.920e-01
2.990e+01	2.073e-01
3.197e+01	2.221e-01
3.350e+01	2.373e-01
3.524e+01	2.522e-01
3.649e+01	2.670e-01
3.788e+01	2.820e-01
3.958e+01	2.971e-01
4.181e+01	3.119e-01
4.342e+01	3.270e-01
4.502e+01	3.423e-01
4.600e+01	3.572e-01
4.674e+01	3.723e-01
4.848e+01	3.873e-01
4.986e+01	4.021e-01
5.142e+01	4.176e-01
5.263e+01	4.328e-01
5.347e+01	4.478e-01
5.421e+01	4.628e-01
5.537e+01	4.778e-01
5.811e+01	4.929e-01
6.110e+01	5.079e-01
6.239e+01	5.235e-01
6.330e+01	5.385e-01
6.449e+01	5.535e-01
6.466e+01	5.685e-01
6.535e+01	5.835e-01
6.625e+01	5.985e-01
6.847e+01	6.134e-01
6.944e+01	6.285e-01
6.970e+01	6.436e-01
7.141e+01	6.586e-01
7.252e+01	6.735e-01
7.518e+01	6.884e-01
7.630e+01	7.033e-01
7.861e+01	7.185e-01
8.135e+01	7.334e-01
8.356e+01	7.488e-01
8.426e+01	7.638e-01
8.480e+01	7.786e-01
8.503e+01	7.937e-01
8.607e+01	8.085e-01
8.795e+01	8.236e-01
8.910e+01	8.386e-01
8.981e+01	8.539e-01
9.076e+01	8.689e-01
9.209e+01	8.838e-01
9.253e+01	8.987e-01
9.312e+01	9.137e-01
9.346e+01	9.286e-01
9.362e+01	9.436e-01
9.396e+01	9.586e-01
9.645e+01	9.737e-01
9.833e+01	9.890e-01
9.924e+01	1.004e+00
9.966e+01	1.019e+00
1.003e+02	1.034e+00
1.005e+02	1.049e+00
1.012e+02	1.064e+00
1.013e+02	1.080e+00
1.016e+02	1.094e+00
1.022e+02	1.110e+00
1.025e+02	1.125e+00
1.040e+02	1.140e+00
1.054e+02	1.155e+00
1.060e+02	1.170e+00
1.067e+02	1.185e+00
1.069e+02	1.200e+00
1.078e+02	1.215e+00
1.087e+02	1.230e+00
1.108e+02	1.245e+00
1.113e+02	1.260e+00
1.115e+02	1.275e+00
1.116e+02	1.290e+00
1.122e+02	1.305e+00
1.127e+02	1.320e+00
1.131e+02	1.335e+00
1.145e+02	1.350e+00
1.159e+02	1.365e+00
1.172e+02	1.380e+00
1.186e+02	1.395e+00
1.191e+02	1.410e+00
1.189e+02	1.425e+00
1.191e+02	1.440e+00
1.196e+02	1.455e+00
1.203e+02	1.470e+00
