# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
6.952e-01	9.090e-04
6.672e-01	1.815e-03
1.596e+00	2.726e-03
1.927e+00	3.632e-03
2.072e+00	4.538e-03
2.316e+00	5.449e-03
2.703e+00	6.354e-03
2.619e+00	7.267e-03
3.438e+00	8.176e-03
2.425e+00	9.090e-03
2.836e+00	9.090e-03
3.203e+00	9.092e-03
6.329e+00	5.302e-02
1.306e+01	9.759e-02
2.106e+01	1.451e-01
2.614e+01	1.869e-01
3.222e+01	2.368e-01
3.851e+01	2.817e-01
4.322e+01	3.265e-01
4.814e+01	3.713e-01
5.373e+01	4.165e-01
5.775e+01	4.634e-01
6.077e+01	5.083e-01
6.494e+01	5.554e-01
6.785e+01	6.008e-01
7.141e+01	6.459e-01
7.476e+01	6.907e-01
7.840e+01	7.357e-01
8.439e+01	7.806e-01
8.976e+01	8.257e-01
9.021e+01	8.712e-01
9.186e+01	9.160e-01
9.443e+01	9.608e-01
9.682e+01	1.006e+00
9.913e+01	1.051e+00
1.028e+02	1.097e+00
1.068e+02	1.142e+00
1.100e+02	1.186e+00
1.116e+02	1.231e+00
1.129e+02	1.277e+00
1.146e+02	1.321e+00
1.172e+02	1.366e+00
1.190e+02	1.411e+00
1.219e+02	1.456e+00
1.251e+02	1.501e+00
1.273e+02	1.546e+00
1.294e+02	1.591e+00
1.311e+02	1.636e+00
1.329e+02	1.681e+00
1.352e+02	1.726e+00
1.376e+02	1.771e+00
1.408e+02	1.816e+00
1.458e+02	1.861e+00
1.485e+02	1.906e+00
1.491e+02	1.951e+00
1.500e+02	1.996e+00
1.517e+02	2.041e+00
1.534e+02	2.086e+00
1.558e+02	2.131e+00
1.587e+02	2.177e+00
1.594e+02	2.222e+00
1.613e+02	2.267e+00
1.626e+02	2.312e+00
1.631e+02	2.357e+00
1.646e+02	2.402e+00
1.669e+02	2.447e+00
1.694e+02	2.492e+00
1.708e+02	2.539e+00
1.724e+02	2.584e+00
1.749e+02	2.629e+00
1.768e+02	2.675e+00
1.782e+02	2.720e+00
1.799e+02	2.765e+00
1.813e+02	2.810e+00
1.831e+02	2.856e+00
1.845e+02	2.900e+00
1.855e+02	2.946e+00
1.867e+02	2.991e+00
1.879e+02	3.035e+00
1.879e+02	3.081e+00
1.887e+02	3.126e+00
1.896e+02	3.171e+00
1.905e+02	3.216e+00
1.915e+02	3.260e+00
1.924e+02	3.306e+00
1.936e+02	3.351e+00
1.941e+02	3.396e+00
1.945e+02	3.441e+00
1.952e+02	3.486e+00
1.959e+02	3.532e+00
1.967e+02	3.576e+00
1.974e+02	3.621e+00
1.979e+02	3.667e+00
1.988e+02	3.711e+00
1.997e+02	3.756e+00
2.003e+02	3.802e+00
2.012e+02	3.847e+00
2.018e+02	3.892e+00
2.022e+02	3.936e+00
2.026e+02	3.981e+00
2.032e+02	4.027e+00
2.032e+02	4.072e+00
2.044e+02	4.118e+00
2.051e+02	4.164e+00
2.061e+02	4.210e+00
2.069e+02	4.255e+00
2.077e+02	4.301e+00
2.085e+02	4.345e+00
2.090e+02	4.390e+00
