# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
8.680e-01	9.030e-04
1.531e+00	1.807e-03
1.923e+00	2.714e-03
2.175e+00	3.623e-03
1.869e+00	4.530e-03
2.173e+00	5.434e-03
2.604e+00	6.344e-03
2.902e+00	7.256e-03
2.786e+00	8.163e-03
3.052e+00	9.069e-03
2.753e+00	9.069e-03
3.119e+00	9.071e-03
7.218e+00	4.949e-02
1.414e+01	8.986e-02
2.007e+01	1.304e-01
2.406e+01	1.719e-01
2.849e+01	2.120e-01
3.323e+01	2.516e-01
3.748e+01	2.919e-01
4.181e+01	3.315e-01
4.596e+01	3.716e-01
4.928e+01	4.114e-01
5.378e+01	4.523e-01
5.750e+01	4.931e-01
6.039e+01	5.328e-01
6.365e+01	5.739e-01
6.711e+01	6.138e-01
6.961e+01	6.534e-01
7.213e+01	6.941e-01
7.673e+01	7.345e-01
7.866e+01	7.748e-01
8.262e+01	8.157e-01
8.586e+01	8.557e-01
8.716e+01	8.958e-01
8.838e+01	9.358e-01
9.238e+01	9.767e-01
9.437e+01	1.016e+00
9.715e+01	1.058e+00
1.016e+02	1.098e+00
1.054e+02	1.138e+00
1.072e+02	1.178e+00
1.097e+02	1.218e+00
1.119e+02	1.258e+00
1.134e+02	1.298e+00
1.163e+02	1.338e+00
1.176e+02	1.378e+00
1.192e+02	1.418e+00
1.217e+02	1.458e+00
1.226e+02	1.498e+00
1.247e+02	1.538e+00
1.288e+02	1.578e+00
1.308e+02	1.618e+00
1.319e+02	1.658e+00
1.336e+02	1.698e+00
1.362e+02	1.738e+00
1.385e+02	1.778e+00
1.400e+02	1.819e+00
1.410e+02	1.858e+00
1.422e+02	1.898e+00
1.438e+02	1.938e+00
1.458e+02	1.978e+00
1.478e+02	2.018e+00
1.510e+02	2.058e+00
1.524e+02	2.098e+00
1.544e+02	2.138e+00
1.562e+02	2.178e+00
1.569e+02	2.218e+00
1.583e+02	2.258e+00
1.597e+02	2.298e+00
1.611e+02	2.338e+00
1.630e+02	2.378e+00
1.644e+02	2.418e+00
1.662e+02	2.459e+00
1.671e+02	2.499e+00
1.688e+02	2.539e+00
1.701e+02	2.580e+00
1.723e+02	2.620e+00
1.738e+02	2.660e+00
1.755e+02	2.700e+00
1.773e+02	2.740e+00
1.787e+02	2.780e+00
1.803e+02	2.819e+00
1.816e+02	2.860e+00
1.829e+02	2.899e+00
1.850e+02	2.940e+00
1.854e+02	2.980e+00
1.862e+02	3.020e+00
1.872e+02	3.060e+00
1.885e+02	3.099e+00
1.902e+02	3.139e+00
1.917e+02	3.179e+00
1.931e+02	3.219e+00
1.953e+02	3.259e+00
1.973e+02	3.299e+00
1.983e+02	3.339e+00
1.992e+02	3.380e+00
2.010e+02	3.420e+00
2.016e+02	3.459e+00
2.030e+02	3.500e+00
2.039e+02	3.540e+00
2.056e+02	3.580e+00
2.066e+02	3.620e+00
2.082e+02	3.660e+00
2.100e+02	3.700e+00
2.117e+02	3.740e+00
2.132e+02	3.781e+00
2.146e+02	3.822e+00
2.159e+02	3.862e+00
2.167e+02	3.902e+00
