# w mse
3.000000000000000000e+00 4.458100702474704705e-03
5.000000000000000000e+00 5.879759057137648806e-03
9.000000000000000000e+00 1.208566081926197230e-02
1.700000000000000000e+01 2.982667423516744895e-02
3.300000000000000000e+01 7.432431343087717024e-02
6.500000000000000000e+01 1.712099529024833922e-01
1.290000000000000000e+02 3.848530184406930843e-01
2.570000000000000000e+02 8.357602402609051184e-01
5.130000000000000000e+02 1.700253447253311956e+00
1.025000000000000000e+03 3.114721449449184831e+00
2.049000000000000000e+03 3.680405187676203838e+00
4.097000000000000000e+03 3.792613056787713877e+00
8.193000000000000000e+03 5.001910130737574178e+00
