# size duration
3.449999999999997513e-01 8.654581567042470835e-01
8.499999999999996447e-02 1.838114486436426276e-01
5.000000000000026645e-02 6.932524047061328076e-02
8.249999999999997335e-01 2.976095857868782613e+00
1.699999999999999289e-01 3.727513331249518447e-01
8.499999999999996447e-02 1.638071607425614362e-01
2.499999999999995559e-01 4.745295494758631216e-01
4.999999999999982236e-02 7.643718544722379049e-02
1.099999999999994316e-01 2.555798367930201542e-01
1.000000000000005329e-01 2.045402536841107177e-01
2.999999999999936051e-02 4.407798815107545620e-02
5.999999999999960920e-02 1.219569497311665668e-01
1.999999999999957367e-02 2.815428701631444292e-02
1.050000000000004263e-01 1.571002171147330984e-01
4.999999999999982236e-02 7.875803646280515879e-02
6.500000000000039080e-02 8.897531478441168817e-02
6.500000000000039080e-02 1.041382050864095854e-01
6.500000000000039080e-02 1.112674368496499172e-01
4.000000000000003553e-02 6.805104976074438650e-02
7.000000000000028422e-02 1.743713726008083997e-01
5.499999999999971578e-02 1.024281441602553355e-01
6.999999999999850786e-02 1.334882510982269010e-01
1.250000000000000000e-01 2.437041648652209236e-01
2.499999999999857891e-02 3.603422227565582225e-02
7.499999999999928946e-02 1.663574578709671181e-01
3.000000000000113687e-02 4.550384030129542984e-02
3.500000000000014211e-02 5.575878459602698345e-02
4.000000000000092371e-02 6.036658851822118005e-02
8.999999999999985789e-02 1.811540487279384437e-01
5.500000000000149214e-02 1.013690971998992274e-01
4.499999999999992895e-02 7.899628152210944054e-02
1.000000000000014211e-01 2.700828307024450980e-01
3.500000000000014211e-02 5.541143198372364825e-02
