# w mse
3.000000000000000000e+00 3.852458687243965306e-03
5.000000000000000000e+00 4.279289899368239961e-03
9.000000000000000000e+00 6.103734804970869024e-03
1.700000000000000000e+01 8.519182953728526853e-03
3.300000000000000000e+01 2.043316103022364133e-02
6.500000000000000000e+01 6.100886898432007072e-02
1.290000000000000000e+02 1.985093768086131361e-01
2.570000000000000000e+02 6.298192740240451393e-01
5.130000000000000000e+02 1.824223331542728310e+00
1.025000000000000000e+03 4.690137099877563998e+00
2.049000000000000000e+03 7.163658825918441053e+00
4.097000000000000000e+03 5.526180166163093155e+00
8.193000000000000000e+03 8.408974264269824417e+00
