# w mse
3.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.316112757028147558e-03
9.000000000000000000e+00 1.919326588714561970e-03
1.700000000000000000e+01 2.364807245773088967e-03
3.300000000000000000e+01 2.980458541746097700e-03
6.500000000000000000e+01 4.328739329388230084e-03
1.290000000000000000e+02 7.603690863801976750e-03
2.570000000000000000e+02 1.570326224582252461e-02
5.130000000000000000e+02 3.446683051856457708e-02
1.025000000000000000e+03 7.942978871510492089e-02
2.049000000000000000e+03 2.005466838623538028e-01
4.097000000000000000e+03 4.331270643208374738e-01
8.193000000000000000e+03 7.007813891154276442e-01
1.638500000000000000e+04 1.016931518277214286e+00
3.276900000000000000e+04 1.594657473485322052e+00
