# w mse
3.000000000000000000e+00 5.676414819882217959e-03
5.000000000000000000e+00 1.151555062905965966e-02
9.000000000000000000e+00 3.326432642114583033e-02
1.700000000000000000e+01 9.521601292460869781e-02
3.300000000000000000e+01 2.365240925234699254e-01
6.500000000000000000e+01 5.247905328280375592e-01
1.290000000000000000e+02 1.130307989201400076e+00
2.570000000000000000e+02 2.545153590377648989e+00
5.130000000000000000e+02 5.670724124936057819e+00
1.025000000000000000e+03 1.175272891332051195e+01
2.049000000000000000e+03 2.249212626699235074e+01
4.097000000000000000e+03 2.831204645505736295e+01
8.193000000000000000e+03 3.048065517408364400e+01
