# ezz df
4.385460885096206102e-02 0.000000000000000000e+00
8.372243507910939742e-02 0.000000000000000000e+00
1.235902613072567269e-01 2.220970373534979281e+00
1.634580875354040563e-01 2.257416841795698126e+00
2.033259137635513858e-01 2.097159656526384808e+00
2.431937399916987153e-01 2.139615727004206214e+00
2.830615662198460170e-01 0.000000000000000000e+00
3.229293924479933464e-01 0.000000000000000000e+00
3.627972186761406759e-01 2.109873962354981813e+00
4.026650449042880053e-01 2.147413293118313415e+00
4.425328711324353348e-01 2.254166551678375097e+00
4.824006973605826643e-01 2.314176306425447915e+00
5.222685235887299937e-01 2.301746198133594046e+00
5.621363498168773232e-01 2.273106892249737054e+00
6.020041760450246526e-01 2.251680737172587765e+00
6.418720022731719821e-01 2.183053017158834042e+00
6.817398285013193115e-01 2.187132529271976100e+00
7.216076547294666410e-01 2.228387023252341947e+00
7.614754809576139705e-01 2.171429446211075920e+00
8.013433071857612999e-01 2.292586081422466115e+00
8.412111334139086294e-01 2.286170096894594383e+00
8.810789596420559588e-01 2.285364596110346813e+00
9.209467858702032883e-01 2.264462544712722902e+00
9.608146120983506178e-01 2.255790222607395812e+00
1.000682438326498058e+00 2.228486710348953181e+00
1.040550264554645388e+00 2.220720659696112431e+00
1.080418090782792717e+00 0.000000000000000000e+00
1.120285917010940047e+00 2.233079625845406202e+00
1.160153743239087376e+00 2.210008190184294730e+00
1.200021569467234706e+00 2.277024429660277516e+00
1.239889395695382035e+00 2.241055060309422142e+00
1.279757221923529364e+00 2.215673069387462224e+00
1.319625048151676694e+00 2.172051695685186079e+00
1.359492874379824023e+00 2.233933165129407872e+00
1.399360700607971353e+00 2.195561656317319699e+00
1.439228526836118682e+00 0.000000000000000000e+00
1.479096353064266012e+00 0.000000000000000000e+00
1.518964179292413341e+00 2.270489991621045256e+00
1.558832005520560671e+00 0.000000000000000000e+00
1.598699831748708000e+00 0.000000000000000000e+00
