# itime other fcc hcp bcc cubicDiamond hexDiamond
1.100000000000000000e+05 1.239194139194139260e-01 8.760805860805860323e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+05 3.389010989010988739e-01 4.860073260073259904e-01 1.750915750915750801e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.100000000000000000e+05 3.265384615384615552e-01 4.099267399267399470e-01 2.635347985347985533e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.310000000000000000e+06 3.042673992673992633e-01 3.086813186813187060e-01 3.870512820512820307e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.710000000000000000e+06 2.728021978021977767e-01 2.076373626373626269e-01 5.195604395604395132e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.110000000000000000e+06 2.641391941391941223e-01 1.217948717948717924e-01 6.140659340659340160e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.510000000000000000e+06 2.453846153846153955e-01 1.643040293040292921e-01 5.903113553113552570e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.910000000000000000e+06 2.757142857142856895e-01 1.341208791208791107e-01 5.901648351648351998e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.310000000000000000e+06 3.278205128205128327e-01 1.132417582417582363e-01 5.589377289377289726e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.710000000000000000e+06 2.110256410256410309e-01 1.346886446886446931e-01 6.542857142857142483e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
