# w mse
3.000000000000000000e+00 5.606209114191070680e-03
5.000000000000000000e+00 5.654180752019576789e-03
9.000000000000000000e+00 8.399500097142994018e-03
1.700000000000000000e+01 1.538548798381753763e-02
3.300000000000000000e+01 3.320736458042368444e-02
6.500000000000000000e+01 8.109632071070778381e-02
1.290000000000000000e+02 2.059366911023859936e-01
2.570000000000000000e+02 5.375157077623017310e-01
5.130000000000000000e+02 1.412736590765415690e+00
1.025000000000000000e+03 3.207642309324277630e+00
2.049000000000000000e+03 4.411298773064846301e+00
4.097000000000000000e+03 4.295888144588729141e+00
8.193000000000000000e+03 6.984909519819721524e+00
