# drho_hcp drho_bcc ei ef ti tf avalancheSize
7.235912084840284697e-03 -1.639175342917756351e-03 2.011999999999999900e-01 2.059999999999999887e-01 2.012000000000000000e+03 2.060000000000000000e+03 1.310732240380320768e+00
4.094980087361504983e-03 -2.017958152465701774e-04 2.083000000000000129e-01 2.093000000000000138e-01 2.083000000000000000e+03 2.093000000000000000e+03 1.079201643617100498e-01
7.851715423778937719e-06 1.278770789822537488e-03 2.147999999999999909e-01 2.159000000000000086e-01 2.148000000000000000e+03 2.159000000000000000e+03 8.776738535835695854e-02
5.273221514911496932e-04 5.571206044994846812e-04 2.169999999999999984e-01 2.177000000000000046e-01 2.170000000000000000e+03 2.177000000000000000e+03 5.263120024668134500e-02
-6.043973765487431482e-04 2.576748846205706434e-04 2.187999999999999945e-01 2.192000000000000060e-01 2.188000000000000000e+03 2.192000000000000000e+03 2.055889400094615405e-02
-2.751966183404397359e-04 2.223787553505733941e-04 2.212000000000000077e-01 2.220000000000000029e-01 2.212000000000000000e+03 2.220000000000000000e+03 5.445143259711089645e-02
-2.405294929168547147e-02 -1.959791293533463818e-04 2.336999999999999911e-01 2.373000000000000109e-01 2.337000000000000000e+03 2.373000000000000000e+03 8.029566766642960429e-01
-9.044550907229512160e-03 -7.666905232459487324e-04 2.378000000000000114e-01 2.391000000000000070e-01 2.378000000000000000e+03 2.391000000000000000e+03 1.748583516672325977e-01
-1.168225712266668381e-02 -8.213808824859142321e-05 2.449000000000000066e-01 2.467999999999999916e-01 2.449000000000000000e+03 2.468000000000000000e+03 3.823189267021024906e-01
-5.263173740935322975e-04 -1.760071655570964039e-04 2.499000000000000110e-01 2.500999999999999890e-01 2.499000000000000000e+03 2.501000000000000000e+03 1.025451821935126524e-02
-1.215508887049444875e-02 8.266573783715248230e-05 2.513000000000000234e-01 2.535999999999999921e-01 2.513000000000000000e+03 2.536000000000000000e+03 2.291630194132917575e-01
3.496978893256050269e-03 4.368329225952994818e-04 2.574000000000000177e-01 2.579000000000000181e-01 2.574000000000000000e+03 2.579000000000000000e+03 2.637316350020767544e-02
1.146195211937928171e-04 -5.322312204889094456e-04 2.642999999999999794e-01 2.652999999999999803e-01 2.643000000000000000e+03 2.653000000000000000e+03 1.007104807581911260e-01
2.104823151496890143e-03 -3.674796581696147119e-04 2.777000000000000024e-01 2.785000000000000253e-01 2.777000000000000000e+03 2.785000000000000000e+03 5.094430089243949522e-02
9.341966911422347475e-03 6.620188348767357817e-04 2.807999999999999940e-01 2.838999999999999857e-01 2.808000000000000000e+03 2.839000000000000000e+03 4.618358073181043633e-01
6.348112837374630946e-04 6.346573259949986334e-04 2.945999999999999730e-01 2.950999999999999734e-01 2.946000000000000000e+03 2.951000000000000000e+03 2.731669477244897531e-02
1.253296858311075956e-03 -2.121553077290018983e-03 3.155000000000000027e-01 3.169000000000000150e-01 3.155000000000000000e+03 3.169000000000000000e+03 9.622308053116809812e-02
8.806684420339383479e-04 2.613247531184281422e-04 3.215999999999999970e-01 3.220000000000000084e-01 3.216000000000000000e+03 3.220000000000000000e+03 2.312313182281584140e-02
2.742528032962876505e-03 -1.193146727086223657e-03 3.397999999999999909e-01 3.407999999999999918e-01 3.398000000000000000e+03 3.408000000000000000e+03 8.238011378019984010e-02
-2.008633414002530815e-02 1.063229640905998148e-03 3.410000000000000253e-01 3.458999999999999853e-01 3.410000000000000000e+03 3.459000000000000000e+03 8.147880634673191347e-01
-1.514864373401314523e-03 -1.807596187691634659e-03 3.472000000000000086e-01 3.487999999999999989e-01 3.472000000000000000e+03 3.488000000000000000e+03 1.571231752614671850e-01
-7.716764496175920751e-04 -3.513276520510540124e-04 3.503999999999999893e-01 3.513999999999999901e-01 3.504000000000000000e+03 3.514000000000000000e+03 1.072824384868847347e-01
-1.099744545111630556e-02 2.944426837936768571e-04 3.521000000000000241e-01 3.544999999999999818e-01 3.521000000000000000e+03 3.545000000000000000e+03 2.944462977967466366e-01
-4.198447409853062195e-03 -2.165152315084167139e-03 3.564999999999999836e-01 3.578999999999999959e-01 3.565000000000000000e+03 3.579000000000000000e+03 1.509422379494112232e-01
9.933433107809641616e-04 3.614814823424787604e-04 3.609999999999999876e-01 3.623000000000000109e-01 3.610000000000000000e+03 3.623000000000000000e+03 1.379786135998357366e-01
-9.718915985618137299e-05 -2.794022578918465421e-04 3.663000000000000145e-01 3.665999999999999814e-01 3.663000000000000000e+03 3.666000000000000000e+03 1.702833776757501152e-02
9.177144809759618660e-03 -4.249105412900099077e-04 3.770000000000000018e-01 3.785000000000000031e-01 3.770000000000000000e+03 3.785000000000000000e+03 1.473553515942883363e-01
1.730893275717348967e-04 5.051778384729532778e-04 3.800000000000000044e-01 3.804000000000000159e-01 3.800000000000000000e+03 3.804000000000000000e+03 2.274113012044374355e-02
-1.733596347393839832e-03 3.360622695867867410e-04 3.847999999999999754e-01 3.855999999999999983e-01 3.848000000000000000e+03 3.856000000000000000e+03 5.446067624593609047e-02
-4.665598954541883003e-04 1.274282421509233612e-03 3.870000000000000107e-01 3.877999999999999781e-01 3.870000000000000000e+03 3.878000000000000000e+03 5.548090193882769527e-02
3.843638323703935100e-04 5.627558540171892845e-04 3.931999999999999940e-01 3.935000000000000164e-01 3.932000000000000000e+03 3.935000000000000000e+03 1.728895169303211465e-02
