# theta phi size
-1.461478985429199362e+01 1.205574342219344857e+02 4.000000000000000000e+00
1.653852101457079868e+02 5.944256577806550723e+01 4.000000000000000000e+00
-1.007478122453864877e+01 1.242115049813369581e+02 2.000000000000000000e+00
1.699252187754613317e+02 5.578849501866304905e+01 2.000000000000000000e+00
1.429036360882791428e+02 1.177040549845132773e+02 5.000000000000000000e+00
-3.709636391172087855e+01 6.229594501548672270e+01 2.000000000000000000e+00
1.204037720707251111e+02 6.555493571885926940e+01 2.000000000000000000e+00
-5.959622792927489598e+01 1.144450642811407448e+02 2.000000000000000000e+00
-1.059911676010187875e+01 1.286840300320913286e+02 2.000000000000000000e+00
1.742449740017411486e+00 8.325991361565513671e+01 2.000000000000000000e+00
-4.678483147926100649e+00 9.854963382805006233e+01 2.000000000000000000e+00
-5.601991878493058152e+01 1.515552736670876222e+01 2.000000000000000000e+00
-9.241353837854111930e+01 1.774905581450876184e+02 2.000000000000000000e+00
-1.302937554101102933e+02 1.129856941840495637e+02 3.000000000000000000e+00
-1.485683568618167953e+02 5.775969153424562563e+01 4.000000000000000000e+00
8.930316978381645754e+01 1.639263913293392250e+02 2.000000000000000000e+00
1.210136639453548568e+01 1.538320833253839339e+02 2.000000000000000000e+00
-1.317072801630564811e+02 1.182006548209173360e+02 2.000000000000000000e+00
1.694008832398981212e+02 5.131596996790867848e+01 3.000000000000000000e+00
-1.782575502599825938e+02 9.674008638434486329e+01 3.000000000000000000e+00
1.753215168520739269e+02 8.145036617194993767e+01 2.000000000000000000e+00
1.239800812150694327e+02 1.648444726332912467e+02 2.000000000000000000e+00
8.758646162145889491e+01 2.509441854912381586e+00 2.000000000000000000e+00
4.970624458988972805e+01 6.701430581595043634e+01 2.000000000000000000e+00
3.143164313818321531e+01 1.222403084657543815e+02 2.000000000000000000e+00
-9.069683021618354246e+01 1.607360867066078569e+01 4.000000000000000000e+00
-1.678986336054645108e+02 2.616791667461607318e+01 2.000000000000000000e+00
4.829271983694351178e+01 6.179934517908267111e+01 2.000000000000000000e+00
-1.341810909709302848e+02 1.202885474660829885e+02 2.000000000000000000e+00
-9.033292720946002419e+01 1.117752406419950688e+02 2.000000000000000000e+00
1.011800659971419520e+02 7.771442859036541506e+01 4.000000000000000000e+00
1.185093687679042915e+02 1.195867889752113342e+02 5.000000000000000000e+00
-8.415845507410519133e+01 8.110625387523776908e+01 2.000000000000000000e+00
1.498386901426494262e+02 2.539889459000310978e+01 2.000000000000000000e+00
0.000000000000000000e+00 9.000000000000000000e+01 3.000000000000000000e+00
-3.289873711024308145e-01 9.056764027046045840e+01 2.000000000000000000e+00
-1.799989802164234050e+02 8.881189408358659421e+01 2.000000000000000000e+00
4.581890902906972229e+01 5.971145253391701857e+01 2.000000000000000000e+00
8.966707279053997581e+01 6.822475935800493119e+01 2.000000000000000000e+00
-7.881993400285806217e+01 1.022855714096345991e+02 5.000000000000000000e+00
-6.149063123209570847e+01 6.041321102478867289e+01 6.000000000000000000e+00
9.584154492589482288e+01 9.889374612476223092e+01 2.000000000000000000e+00
-3.016130985735056669e+01 1.546011054099969044e+02 2.000000000000000000e+00
-1.800000000000000000e+02 9.000000000000000000e+01 2.000000000000000000e+00
1.796710126288975857e+02 8.943235972953954160e+01 2.000000000000000000e+00
1.019783576606669764e-03 9.118810591641339158e+01 3.000000000000000000e+00
9.019599371626406992e+01 4.133167558491856397e+01 2.000000000000000000e+00
4.267529970133531947e+01 9.232399009818026059e+01 6.000000000000000000e+00
-2.879762421841750797e+00 1.015226493286693028e+02 3.000000000000000000e+00
-8.983345041181692636e+01 1.321525804053807178e+02 6.000000000000000000e+00
1.242770517765104543e+01 8.419106545252407159e+01 4.000000000000000000e+00
-1.011514703306532539e+02 1.475009268830302744e+02 3.000000000000000000e+00
-1.216222569333230439e+02 1.734311284796178541e+02 2.000000000000000000e+00
8.755996708341055523e+01 3.961650811998951838e+01 5.000000000000000000e+00
-1.286994787521949490e+01 7.454255180034482464e+01 6.000000000000000000e+00
9.000000000000000000e+01 4.662702722458050175e+01 2.000000000000000000e+00
