# ezz df
8.742039283644593983e-02 0.000000000000000000e+00
1.668934772332149596e-01 2.145861374309061098e+00
2.463665616299839933e-01 2.116200306609951731e+00
3.258396460267530270e-01 2.179653764793288762e+00
4.053127304235220607e-01 2.163568254875272157e+00
4.847858148202910944e-01 2.086159458177680559e+00
5.642588992170600726e-01 2.165779435864298552e+00
6.437319836138291063e-01 2.244307173524479282e+00
7.232050680105981399e-01 2.259482367607217324e+00
8.026781524073671736e-01 2.186542729062094903e+00
8.821512368041362073e-01 2.246668529199173481e+00
9.616243212009052410e-01 2.294573345591550684e+00
1.041097405597674275e+00 2.232172857077732164e+00
1.120570489994443308e+00 2.260302634292214563e+00
1.200043574391212342e+00 2.192411298904523687e+00
1.279516658787981376e+00 2.189254074576013398e+00
1.358989743184750409e+00 2.187219037740644634e+00
1.438462827581519443e+00 2.214818508747578463e+00
1.517935911978288477e+00 2.272441560010523443e+00
1.597408996375057511e+00 2.260817353636940474e+00
