#grain_i_ID grain_j_ID phi1 Phi phi2 angle
40 100 3.155582e+02 6.956003e+01 4.467040e+01 5.950102e+01
40 326 8.973641e+01 6.745631e+01 1.916741e+02 2.532977e+01
41 84 3.580145e+02 4.970570e+01 1.892499e+02 4.118847e+01
41 92 1.414801e+02 6.875565e+01 2.536851e+02 4.903371e+01
42 47 3.402408e+02 2.263924e+01 3.156600e+02 3.427255e+01
42 48 1.885322e+02 1.261985e+02 1.042846e+02 3.873730e+01
42 53 9.409142e+01 4.685420e+01 2.325146e+02 5.567088e+01
42 60 1.884627e+02 1.262916e+02 1.043762e+02 3.884088e+01
43 62 2.398127e+02 6.339936e+01 2.420394e+02 5.238922e+01
43 142 2.660451e+02 1.039528e+02 2.758355e+02 1.580306e+01
43 156 1.308062e+02 9.915291e+01 1.198553e+02 4.901405e+01
43 166 2.984909e+02 1.331675e+02 2.559350e+02 5.588352e+01
44 100 1.169456e+02 4.848445e+01 2.059025e+02 5.961172e+01
45 85 1.538313e+02 1.320702e+02 2.696393e+01 5.979742e+01
46 53 4.539453e+01 1.094570e+02 1.350061e+02 5.976941e+01
46 59 4.516289e+01 1.093360e+02 1.351932e+02 5.979421e+01
46 132 8.534894e+01 1.251660e+02 1.325244e+02 5.593480e+01
47 48 2.660916e+02 1.449450e+02 1.228047e+02 5.033990e+01
47 55 9.832954e+01 1.143698e+02 8.672492e+01 2.616047e+01
47 60 2.660506e+02 1.450510e+02 1.229037e+02 5.036785e+01
48 53 1.302349e+02 1.167093e+02 3.482704e+02 5.149991e+01
48 55 2.258887e+02 9.999274e+01 2.596236e+02 4.541944e+01
48 122 6.039704e+01 1.325776e+02 2.923663e+02 6.006324e+01
49 50 1.004900e+02 1.087429e+02 1.480915e+02 3.969980e+01
49 56 3.435468e+02 3.992616e+01 2.386449e+02 5.745405e+01
49 74 3.257881e+02 7.989774e+01 5.289810e+01 5.315140e+01
50 56 7.402799e+01 1.214528e+02 3.203667e+02 4.911355e+01
50 65 3.240649e+02 8.331199e+01 2.830369e+02 3.800104e+01
50 74 1.265178e+02 1.354101e+02 1.594077e+02 5.490495e+01
50 166 1.887256e+02 1.169809e+02 4.122525e+01 4.793745e+01
51 57 3.328790e+02 1.384035e+02 2.037347e+02 5.651664e+01
51 96 3.547771e+02 6.991265e+01 2.956632e+01 3.522693e+01
51 211 2.920031e+02 1.177563e+02 1.843043e+02 3.488691e+01
52 69 1.332905e+02 1.235521e+02 3.473981e+02 5.519024e+01
53 60 1.916083e+02 1.167177e+02 4.984320e+01 5.139288e+01
53 93 8.861162e+01 7.910582e+01 1.682509e+02 1.616555e+01
53 122 3.170789e+02 5.793862e+01 3.068735e+01 5.442143e+01
53 132 2.825037e+02 3.849059e+01 5.589981e+01 4.393428e+01
53 156 3.337220e+02 9.439521e+01 3.405265e+02 3.228962e+01
54 55 2.893116e+02 7.759477e+01 1.819222e+02 2.317432e+01
54 60 3.177451e+01 8.032220e+01 2.971213e+01 4.602544e+01
54 61 3.421901e+02 4.494906e+01 3.848526e+01 4.925128e+01
54 122 1.640479e+02 9.654130e+01 1.525832e+01 2.357603e+01
55 60 2.803787e+02 9.988414e+01 3.142443e+02 4.553273e+01
55 122 8.723310e+01 1.257791e+02 9.466149e+01 3.628526e+01
56 65 3.143842e+02 1.104897e+02 4.417049e+01 5.918433e+01
56 74 9.501243e+01 4.258660e+01 6.971272e+01 4.512300e+01
57 80 3.373159e+02 5.111299e+01 6.749502e+01 5.323765e+01
57 96 3.145539e+02 7.123643e+01 2.247252e+02 5.990667e+01
57 211 4.799261e+01 3.758055e+01 3.188760e+02 3.818077e+01
58 78 3.374957e+02 1.332460e+02 2.118579e+02 5.817453e+01
58 144 8.146068e+01 1.162606e+02 1.225770e+02 4.392487e+01
59 69 4.477794e+01 1.092678e+02 1.349889e+02 5.986559e+01
59 132 2.822590e+02 3.873988e+01 5.587508e+01 4.427753e+01
60 61 1.912010e+02 5.521590e+01 1.524466e+02 4.333230e+01
60 93 2.160007e+02 1.063936e+02 2.831250e+02 3.982755e+01
61 63 2.180813e+02 4.482565e+01 3.372985e+02 4.726177e+01
61 93 2.364639e+02 5.634130e+01 2.586761e+02 5.068612e+01
