#grainID x y area perimeter subBoundaryLength diameter equivalentPerimeter shapeFactor isBoundary hasHole isInclusion numNeighbors phi1 Phi phi2
32 -1.932953e+02 -9.199926e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.543704e+02 1.295051e+02 2.443665e+00
33 -2.016091e+02 -9.199926e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.705724e+02 1.404377e+02 8.704604e+01
34 -7.343837e+01 -9.599923e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.366597e+02 7.525915e+01 1.385378e+02
35 -2.064588e+02 -9.599923e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 2 2.494137e+02 2.233561e+01 2.393800e+02
36 -2.071516e+02 -9.999920e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 2 3.550110e+02 1.294266e+02 3.091107e+00
37 -6.789585e+01 -1.039992e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.637520e+02 1.359360e+02 1.124137e+02
38 -2.175438e+02 -1.039992e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.493982e+02 2.267194e+01 2.397616e+02
39 -2.009163e+02 -1.119991e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.492464e+02 2.199528e+01 2.395594e+02
40 -1.971058e+02 -1.219990e+01 1.108495e+00 4.618765e+00 0.000000e+00 1.665319e+00 3.732259e+00 1.237525e+00 0 0 1 1 1.705781e+02 1.404271e+02 8.705606e+01
41 -8.660185e+01 -1.399989e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.072148e+02 1.057348e+02 9.250977e+01
42 -2.979104e+01 -1.479988e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.989138e+02 2.702986e+01 3.522275e+02
43 -2.009163e+02 -1.439988e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.707334e+02 1.404308e+02 8.708443e+01
44 -2.036875e+02 -1.439988e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 3.107265e+02 1.011219e+02 1.947655e+01
45 -2.078444e+02 -1.439988e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.493965e+02 2.233848e+01 2.394053e+02
46 -2.099229e+02 -1.479988e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.309664e+01 8.758233e+01 2.194096e+02
47 -2.182367e+02 -1.479988e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.554865e+02 1.297812e+02 3.739696e+00
48 -1.981450e+02 -1.519988e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.705340e+02 1.404927e+02 8.704890e+01
49 -2.196223e+02 -1.639987e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 6.959718e+01 5.502744e+01 5.801771e+01
50 -2.196223e+02 -1.719986e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 4 2.590738e+02 1.436904e+02 2.631670e+02
51 -3.533355e+01 -1.799986e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 2.314681e+02 7.756130e+01 3.478089e+02
52 -7.620963e+01 -1.719986e+01 1.108495e+00 4.618765e+00 0.000000e+00 1.665319e+00 3.732259e+00 1.237525e+00 0 0 0 2 3.369877e+02 7.471018e+01 1.386556e+02
53 -8.521622e+01 -1.799986e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.071420e+02 1.059651e+02 9.241294e+01
54 -2.002235e+02 -1.799986e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.297174e+01 8.775250e+01 2.195930e+02
55 -2.196223e+02 -1.799986e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 5 1.376313e+02 1.440525e+02 2.510621e+02
56 -2.217007e+02 -1.759986e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.177446e+02 5.324898e+01 1.863551e+02
57 -3.602637e+01 -1.839985e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 3.304024e+02 1.236896e+02 3.346956e+02
58 -1.988378e+02 -1.839985e+01 1.108495e+00 4.618765e+00 0.000000e+00 1.665319e+00 3.732259e+00 1.237525e+00 0 0 1 1 1.703053e+02 1.404017e+02 8.652871e+01
59 -2.085372e+02 -1.879985e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.275344e+01 8.756800e+01 2.195660e+02
60 -2.196223e+02 -1.879985e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 5 2.763123e+02 7.331453e+01 1.633927e+02
61 -2.210079e+02 -1.815985e+01 2.771237e+00 8.313777e+00 0.000000e+00 2.444021e+00 5.901219e+00 1.408824e+00 0 0 0 7 2.043987e+01 4.360781e+01 2.840723e+02
62 -2.205508e+02 -6.772018e+00 2.030454e+02 8.510904e+01 0.000000e+00 2.418747e+01 5.051281e+01 1.684900e+00 1 0 0 13 9.178172e+01 1.433425e+02 1.735365e+01
63 -2.230864e+02 -1.839985e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 7.725133e+01 1.068205e+02 2.064711e+01
64 -8.452340e+01 -1.919985e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.261539e+02 8.982832e+01 3.477711e+02
