# w mse
3.000000000000000000e+00 6.232747653920731219e-03
5.000000000000000000e+00 9.800046584540129599e-03
9.000000000000000000e+00 2.105653797658156232e-02
1.700000000000000000e+01 4.613974331880111440e-02
3.300000000000000000e+01 9.963169619048610481e-02
6.500000000000000000e+01 2.148358831317295214e-01
1.290000000000000000e+02 4.746022309324262611e-01
2.570000000000000000e+02 1.050519056345704527e+00
5.130000000000000000e+02 2.039094770876476392e+00
1.025000000000000000e+03 3.201648295996185833e+00
2.049000000000000000e+03 4.833141339536175529e+00
4.097000000000000000e+03 7.391867545308026699e+00
8.193000000000000000e+03 1.101852500787244082e+01
