# w mse
3.000000000000000000e+00 5.507488580721389432e-04
5.000000000000000000e+00 1.426529674425557016e-03
9.000000000000000000e+00 2.808937240618264962e-03
1.700000000000000000e+01 4.310175753030141138e-03
3.300000000000000000e+01 8.559381039327414176e-03
6.500000000000000000e+01 2.175178059683673809e-02
1.290000000000000000e+02 6.261931359713103495e-02
2.570000000000000000e+02 2.040110272193460250e-01
5.130000000000000000e+02 6.402408774379936274e-01
1.025000000000000000e+03 1.737141683648452783e+00
2.049000000000000000e+03 3.645598276961180773e+00
4.097000000000000000e+03 6.606161030590207872e+00
8.193000000000000000e+03 9.833500503599552189e+00
