# w mse
3.000000000000000000e+00 7.977482831964914645e-03
5.000000000000000000e+00 1.755049143182630528e-02
9.000000000000000000e+00 4.802261791528216611e-02
1.700000000000000000e+01 1.207099852263361084e-01
3.300000000000000000e+01 2.800496175441323232e-01
6.500000000000000000e+01 6.148281356966612821e-01
1.290000000000000000e+02 1.286460675612129734e+00
2.570000000000000000e+02 2.659808920808904631e+00
5.130000000000000000e+02 5.641512741939752829e+00
1.025000000000000000e+03 1.143926466233082095e+01
2.049000000000000000e+03 1.997471558702850558e+01
4.097000000000000000e+03 2.445808525436699199e+01
8.193000000000000000e+03 2.917022125080814021e+01
