# w mse
3.000000000000000000e+00 5.958918992158534697e-03
5.000000000000000000e+00 1.744494030220863565e-02
9.000000000000000000e+00 5.459807308547101612e-02
1.700000000000000000e+01 1.558216429156658311e-01
3.300000000000000000e+01 4.229712201603092470e-01
6.500000000000000000e+01 1.163966864261193113e+00
1.290000000000000000e+02 2.803973873604111766e+00
2.570000000000000000e+02 5.590136806294036198e+00
5.130000000000000000e+02 9.655608455304523829e+00
1.025000000000000000e+03 1.536463884004276892e+01
2.049000000000000000e+03 2.541793048102555730e+01
4.097000000000000000e+03 2.601659544514393829e+01
8.193000000000000000e+03 3.073184531175317247e+01
