# w mse
3.000000000000000000e+00 4.962595302970144832e-03
5.000000000000000000e+00 7.042542856332762238e-03
9.000000000000000000e+00 1.570050237525738579e-02
1.700000000000000000e+01 4.168323393980807867e-02
3.300000000000000000e+01 1.153371099853031656e-01
6.500000000000000000e+01 2.997677146202010756e-01
1.290000000000000000e+02 7.243492782340547054e-01
2.570000000000000000e+02 1.601136592250172130e+00
5.130000000000000000e+02 3.405071078657461836e+00
1.025000000000000000e+03 6.900370830173264025e+00
2.049000000000000000e+03 8.709634512497711256e+00
4.097000000000000000e+03 8.479824939660536742e+00
8.193000000000000000e+03 9.931266270091336779e+00
