# hist edge err
1.184994923751846500e+03 2.299863853961210979e-07 6.841571382164686383e+02
1.601524989658511913e+03 3.403414882518303995e-07 6.538198391632433868e+02
5.411167257113556843e+02 5.036486330526269555e-07 3.124138872524600856e+02
7.313212412801998425e+02 7.453159674382292120e-07 2.985606465325519139e+02
1.235479177908682004e+03 1.102943311791611312e-06 3.189993520417570494e+02
8.348773222415481996e+02 1.632172128563277042e-06 2.155643976778505930e+02
1.241173742499444643e+03 2.415342501085946627e-06 2.160606157280642208e+02
1.296212035470707633e+03 3.574304018221051658e-06 1.815059897947039929e+02
1.099190791801210480e+03 5.289373746757314342e-06 1.373988489751513100e+02
1.148988114398667676e+03 7.827390868337487704e-06 1.154776504254038656e+02
1.035241103089279704e+03 1.158323286254710313e-05 9.010617228738637152e+01
8.638581085525058825e+02 1.714125253291314034e-05 6.766258908305815112e+01
7.664005664714413797e+02 2.536619455757796866e-05 5.239006417036073060e+01
6.824618609970013949e+02 3.753773681925603648e-05 4.064001241289400923e+01
5.053298945866437180e+02 5.554958913183835140e-05 2.874721330875830461e+01
4.155196732560435748e+02 8.220412614574893113e-05 2.142879096173975384e+01
3.054318255298363738e+02 1.216483949025850094e-04 1.510263177946912805e+01
2.462623593301837275e+02 1.800193332891544525e-04 1.114777321207447791e+01
1.899418410393124645e+02 2.663985857258772982e-04 8.048094099281263070e+00
1.525494588794788910e+02 3.942254711206790363e-04 5.929003090755141869e+00
1.060442263348120093e+02 5.833879397552115724e-04 4.063623582600908613e+00
8.018296683207779552e+01 8.633168407011583599e-04 2.904722412999247272e+00
6.264555952866129473e+01 1.277564921467115415e-03 2.110582526777185386e+00
4.483149916750014086e+01 1.890582983690756698e-03 1.467717390463719740e+00
3.448366115673564281e+01 2.797747463288544848e-03 1.058159439769905674e+00
2.512358280089997820e+01 4.140199576459224762e-03 7.424698619167917624e-01
1.814866725262001168e+01 6.126804780573309565e-03 5.187451260077525772e-01
1.433805322174621644e+01 9.066649113412789118e-03 3.790271947872327352e-01
1.104988969760823458e+01 1.341712835479911582e-02 2.735255283562514905e-01
8.812138315647995768e+00 1.985511196444582696e-02 2.007951246523929922e-01
6.808157138777857220e+00 2.938225383971005897e-02 1.450844654018823843e-01
4.865964980513234117e+00 4.348083467104509048e-02 1.008287155549232733e-01
2.448137563936832795e+00 6.434438263328993990e-02 5.879105737044577895e-02
8.233505014368004415e-01 9.521895354084065899e-02 2.802717701566183328e-02
1.340986876345457157e-01 1.409081685511730242e-01 9.298071043053527523e-03
1.524812596602288101e-02 2.085205857248753625e-01 2.577403707364121950e-03
