# w mse
3.000000000000000000e+00 5.187939368990030289e-03
5.000000000000000000e+00 3.316749690604955079e-03
9.000000000000000000e+00 4.886106247762487045e-03
1.700000000000000000e+01 1.057419094265958301e-02
3.300000000000000000e+01 2.866348837039884440e-02
6.500000000000000000e+01 8.320495605043512488e-02
1.290000000000000000e+02 2.161558097184836102e-01
2.570000000000000000e+02 5.245782659754913979e-01
5.130000000000000000e+02 1.252607217236463732e+00
1.025000000000000000e+03 2.841015835692001890e+00
2.049000000000000000e+03 5.897240781625861850e+00
4.097000000000000000e+03 1.075655712784436702e+01
8.193000000000000000e+03 1.315572279835854808e+01
1.638500000000000000e+04 8.931876377142046408e+00
3.276900000000000000e+04 1.157208920710364453e+01
