# hist edge err
1.786907531957458787e+03 3.375218453284569736e-07 1.031671544592608598e+03
5.449895549673310597e+02 7.377760082683297187e-07 3.853658099932384289e+02
3.686182713115824185e+02 1.090776691510956364e-06 2.606524793136824769e+02
9.972993332166346363e+02 1.612676174624066139e-06 3.525985606951522868e+02
4.215938095049164076e+02 2.384286778806726338e-06 1.885424833892180061e+02
5.132812614664286457e+02 3.525086767600913436e-06 1.710937538221428724e+02
2.314476789189364183e+02 5.211720682918033648e-06 9.448811925048487126e+01
3.130916639578191507e+02 7.705351461530556828e-06 9.038177823353737494e+01
1.764732719466442177e+02 1.139209960739268247e-05 5.580574854936921270e+01
1.909798728280421187e+02 1.684283113011666012e-05 4.774496820701052968e+01
2.179817127066037870e+02 2.490155197497900683e-05 4.195060016985778617e+01
2.020443450890700205e+02 3.681609617600462763e-05 3.321588572341725154e+01
1.440450245435175702e+02 5.443134383763516352e-05 2.306566384496193223e+01
1.349012872995575094e+02 8.047488733750887897e-05 1.835773997380626099e+01
8.448527415839961918e+01 1.189793790743585734e-04 1.194802205356179137e+01
5.600099876988036129e+01 1.759069582234984116e-04 8.000142681411480439e+00
7.652856439968687141e+01 2.600724444200111268e-04 7.691410116918520501e+00
5.751349189039943610e+01 3.845082481652768334e-04 5.483696289437562044e+00
5.163195697333300416e+01 5.684823443592555573e-04 4.273091163119448588e+00
4.162015161049842504e+01 8.404817774137396304e-04 3.155215550937620073e+00
3.559309630505781286e+01 1.242623671911502990e-03 2.399686063351090581e+00
3.195321926327360629e+01 1.837176761578635485e-03 1.869920719591520619e+00
2.679347342464280501e+01 2.716203247675567055e-03 1.408233698505004572e+00
2.407987360382211861e+01 4.015813958121150148e-03 1.097947729061188982e+00
2.214499334766459171e+01 5.937244114571096909e-03 8.659377642602453795e-01
2.102466895323685137e+01 8.778013135972470571e-03 6.939174768648478375e-01
1.990573838594959710e+01 1.297799334647565042e-02 5.552987912993991859e-01
1.617748998257227200e+01 1.918752099047832393e-02 4.117062799728204991e-01
1.228857758998135452e+01 2.836809604776268159e-02 2.951053407848485688e-01
6.797002550841828139e+00 4.194126347923935599e-02 1.805008774698446117e-01
1.731295253349052876e+00 6.200872907625796376e-02 7.492047287080694229e-02
1.732389934926556740e-01 9.167779324426052201e-02 1.949090955471891040e-02
1.631548261989071089e-02 1.355424937640825334e-01 4.919303102158381451e-03
