# hist edge err
7.616053312769720833e+03 7.405684692262442192e-06 4.019599200593565911e+02
4.171416459512818619e+03 1.649648074098020639e-05 1.993179882841494077e+02
2.201483787606596252e+03 2.462092401494625450e-05 1.185239028921853759e+02
2.424188640685415976e+03 3.674661940736687922e-05 1.018063535612909050e+02
2.214368033755124543e+03 5.484416576121014950e-05 7.964528239421335343e+01
1.915524924434834929e+03 8.185467307069021234e-05 6.063488199014654612e+01
1.873716038787648813e+03 1.221677348996791812e-04 4.908784859715387938e+01
1.766383666151779153e+03 1.823348000868440328e-04 3.901288877736464400e+01
1.419057567887670302e+03 2.721338768375308921e-04 2.862259957196101112e+01
7.724727303048815656e+02 4.061585988376979588e-04 1.728598471113200219e+01
2.529541834334164037e+02 6.061898993497572431e-04 8.096866103197021047e+00
7.762230379959723336e+01 9.047357242349293423e-04 3.671408987483046893e+00
6.515593609631846306e+00 1.350314037869872197e-03 8.706828199534316637e-01
1.559132102900082917e-01 2.015337685941732959e-03 1.102472882726290571e-01
