# hist edge err
2.923652587481538765e+06 3.383855153428233217e-08 8.655316286540208966e+04
1.502901089068561560e+06 7.626985859023450947e-08 4.133468873514920415e+04
8.003931129966807785e+05 1.145047569938281182e-07 2.461874156927207514e+04
8.241567496269991389e+05 1.719072201858574609e-07 2.038843043110845610e+04
4.847898409887413727e+05 2.580861540418076687e-07 1.276204715116225634e+04
5.196115624467725866e+05 3.874675120456128192e-07 1.078320095506762482e+04
4.237628321989206597e+05 5.817091329374357813e-07 7.947571298003251286e+03
3.481859002900343039e+05 8.733261623828437513e-07 5.879539298866713580e+03
2.711369354457222507e+05 1.311133937421563007e-06 4.234447519550658399e+03
1.162007762711735995e+05 1.968419447286615196e-06 2.262411677433903151e+03
2.338417062786753013e+04 2.955209235202887931e-06 8.283098208332805825e+02
3.693642560848542871e+03 4.436687330978615924e-06 2.686729623047456812e+02
1.692255077053115428e+02 6.660846290809167848e-06 4.693471116522516695e+01
