# w mse
3.000000000000000000e+00 8.762817156623985484e-03
5.000000000000000000e+00 1.842753623949607705e-02
9.000000000000000000e+00 4.699700151323035063e-02
1.700000000000000000e+01 1.178870901360166978e-01
3.300000000000000000e+01 2.992248468993535804e-01
6.500000000000000000e+01 7.125767858677187760e-01
1.290000000000000000e+02 1.574557067249325426e+00
2.570000000000000000e+02 3.414955727101176119e+00
5.130000000000000000e+02 6.983900507954152737e+00
1.025000000000000000e+03 1.327054589260441553e+01
2.049000000000000000e+03 2.033685563789185125e+01
4.097000000000000000e+03 2.407541225160503373e+01
8.193000000000000000e+03 2.887903857488816683e+01
