# w mse
3.000000000000000000e+00 3.486863053181566232e-04
5.000000000000000000e+00 1.343264531937639165e-03
9.000000000000000000e+00 4.969130125049282115e-03
1.700000000000000000e+01 1.736465559914908766e-02
3.300000000000000000e+01 6.071536480283431375e-02
6.500000000000000000e+01 2.203164388007839425e-01
1.290000000000000000e+02 7.974856822748485063e-01
2.570000000000000000e+02 2.825528699751630235e+00
5.130000000000000000e+02 8.751191352818223024e+00
1.025000000000000000e+03 1.852354274034023263e+01
2.049000000000000000e+03 2.678213888847339064e+01
