# hist edge err
2.193510470178324923e+01 2.511886431509579437e-03 1.551046128066785634e+01
3.047872915173084341e+00 1.807768676963434143e-02 2.155171606513698546e+00
7.188467730811876066e+00 2.682695795279727360e-02 2.716985417620146226e+00
4.844040394736270017e+00 3.981071705534973415e-02 1.830875175031903224e+00
3.264218220700907391e+00 5.907837911587943136e-02 1.233758519574335688e+00
6.352508524582387572e-01 1.301025216910830229e-01 3.667622506697034157e-01
8.561437305779806550e-01 1.930697728883249698e-01 3.495192143998147594e-01
4.807694502176785289e-01 2.865120269663781749e-01 2.150066344383860517e-01
5.183561726073867559e-01 4.251786303382894538e-01 1.832665823602938338e-01
5.239513481172989318e-01 6.309573444801930275e-01 1.512517259388949376e-01
1.176904263049888821e-01 9.363292088239416611e-01 5.884521315249444107e-02
