# w mse
3.000000000000000000e+00 4.976049406402794847e-03
5.000000000000000000e+00 7.685319308361258754e-03
9.000000000000000000e+00 1.744391389879750009e-02
1.700000000000000000e+01 4.259653834720172894e-02
3.300000000000000000e+01 1.036637986859432481e-01
6.500000000000000000e+01 2.493277849709300831e-01
1.290000000000000000e+02 5.968797842528992259e-01
2.570000000000000000e+02 1.364286540457276153e+00
5.130000000000000000e+02 2.547733809233852842e+00
1.025000000000000000e+03 3.121399529094111891e+00
2.049000000000000000e+03 3.630110412690392696e+00
4.097000000000000000e+03 4.689049145203578739e+00
8.193000000000000000e+03 5.856844434974255442e+00
