# w mse
3.000000000000000000e+00 1.416967832741518850e-02
5.000000000000000000e+00 1.240308345450731077e-02
9.000000000000000000e+00 1.212203285143330714e-02
1.700000000000000000e+01 1.771262120908931315e-02
3.300000000000000000e+01 3.615922455441761274e-02
6.500000000000000000e+01 8.328855803944797132e-02
1.290000000000000000e+02 1.893381417223653218e-01
2.570000000000000000e+02 4.181128020075516871e-01
5.130000000000000000e+02 8.873848338966042748e-01
1.025000000000000000e+03 1.770163988387884801e+00
2.049000000000000000e+03 2.782324925661523896e+00
4.097000000000000000e+03 3.485313533813412246e+00
8.193000000000000000e+03 4.302904553500971119e+00
1.638500000000000000e+04 5.034162270071812273e+00
