# theta phi
-1.337872092776425177e+02 4.899812774036854535e+01
4.621279072235750363e+01 1.310018722596314262e+02
-6.642447409180958573e+01 1.261129796782363002e+02
-6.650312465886401014e+01 1.261195833813363123e+02
1.135755259081904143e+02 5.388702032176369983e+01
1.134968753411359899e+02 5.388041661866369481e+01
1.144538658287199553e+02 5.504611599774379727e+01
1.144279883008485683e+02 5.504074598865466328e+01
-6.554613417128003050e+01 1.249538840022562169e+02
-6.557201169915146011e+01 1.249592540113453509e+02
-5.244520137074868416e+01 1.080157581571262142e+02
-5.244799704541497931e+01 1.080167113179980873e+02
1.275547986292513087e+02 7.198424184287380001e+01
1.275520029545850207e+02 7.198328868200191266e+01
-2.669964389378407787e+01 7.663260999922982819e+01
-2.669333554728313374e+01 7.663497228703938902e+01
1.533003561062159577e+02 1.033673900007701860e+02
1.533066644527168592e+02 1.033650277129606110e+02
-1.418816458207664937e+02 9.208415319781950359e+01
-1.418831261837447641e+02 9.208531263941866030e+01
-1.419106244745516108e+02 9.209345660992758553e+01
3.811835417923351343e+01 8.791584680218051062e+01
3.811687381625525717e+01 8.791468736058133970e+01
3.808937552544841054e+01 8.790654339007241447e+01
-1.410925191814525306e+02 9.235367503031218916e+01
-1.410942768635871687e+02 9.235478543625794146e+01
-1.411224877006532381e+02 9.237427635949114801e+01
3.890748081854747653e+01 8.764632496968781084e+01
3.890572313641283131e+01 8.764521456374205854e+01
3.887751229934676189e+01 8.762572364050885199e+01
3.298237532376118963e+01 8.052081420191123584e+01
3.300540687802685369e+01 8.052459099229930928e+01
-1.470176246762388246e+02 9.947918579808876416e+01
-1.469945931219731392e+02 9.947540900770070493e+01
1.681400876944121023e+02 4.868272147367016345e+01
1.680991380512060402e+02 4.864457236987730937e+01
-1.185991230558789766e+01 1.313172785263298579e+02
-1.190086194879394377e+01 1.313554276301227048e+02
2.253960460166638669e+01 8.327543733018757166e+01
2.254141855667969807e+01 8.327415668582698061e+01
-1.574603953983336169e+02 9.672456266981245676e+01
-1.574585814433202984e+02 9.672584331417303360e+01
-8.979366562663981810e+00 7.936956215587275665e+01
-2.102156854822550969e+01 8.155581768800844600e+01
1.710206334373360164e+02 1.006304378441272291e+02
1.589784314517744974e+02 9.844418231199156821e+01
9.117819992048689315e+00 9.546936354200684605e+01
9.115827525395966191e+00 9.548258567951098996e+01
-1.708821800079512911e+02 8.453063645799318238e+01
-1.708841724746040427e+02 8.451741432048902425e+01
-5.102926762720569442e+00 8.659338125132794062e+01
-5.094396310177831566e+00 8.660822069950538094e+01
1.748970732372794146e+02 9.340661874867205938e+01
1.749056036898221862e+02 9.339177930049463328e+01
-1.648054184571857306e+01 1.106981950773021595e+02
-1.647418391037137297e+01 1.106857550769996408e+02
1.635194581542814376e+02 6.930180492269784054e+01
1.635258160896286483e+02 6.931424492300035922e+01
1.550464311196364298e+00 9.014560869344492744e+01
1.552881612790274257e+00 9.014961848640368203e+01
-1.784495356888036497e+02 8.985439130655507256e+01
-1.784471183872097413e+02 8.985038151359631797e+01
-8.975445834412614232e+00 8.257092800264618404e+01
-8.974518797390688363e+00 8.256537317493496175e+01
1.710245541655873751e+02 9.742907199735384438e+01
1.710254812026093134e+02 9.743462682506503825e+01
-1.000316687016813511e+01 7.558811581820086190e+01
-1.001306116252509426e+01 7.556805181792428527e+01
1.699968331298318560e+02 1.044118841817991381e+02
1.699869388374748951e+02 1.044319481820757147e+02
3.807095851910972772e+00 9.979417494818582668e+01
3.813804046057778674e+00 9.980809229345356925e+01
-1.761929041480890419e+02 8.020582505181415911e+01
-1.761861959539422173e+02 8.019190770654644496e+01
