# w mse
3.000000000000000000e+00 8.647563704823774469e-03
5.000000000000000000e+00 1.906060486598428957e-02
9.000000000000000000e+00 5.214981094876184470e-02
1.700000000000000000e+01 1.338866597529015379e-01
3.300000000000000000e+01 3.311744705168630509e-01
6.500000000000000000e+01 7.652484243793918894e-01
1.290000000000000000e+02 1.653975638790757818e+00
2.570000000000000000e+02 3.393073514658235812e+00
5.130000000000000000e+02 6.637029573793628678e+00
1.025000000000000000e+03 1.203271714291680183e+01
2.049000000000000000e+03 2.054509955835464297e+01
4.097000000000000000e+03 2.668795073347749280e+01
8.193000000000000000e+03 3.016141306708383496e+01
