# w mse
3.000000000000000000e+00 5.618553418406638418e-03
5.000000000000000000e+00 3.176161785925089593e-03
9.000000000000000000e+00 4.056818157481744021e-03
1.700000000000000000e+01 6.988250738835987720e-03
3.300000000000000000e+01 1.447921865620069824e-02
6.500000000000000000e+01 3.206385076542062756e-02
1.290000000000000000e+02 7.067949436776121974e-02
2.570000000000000000e+02 1.609754193275702572e-01
5.130000000000000000e+02 3.647088897756322612e-01
1.025000000000000000e+03 7.272751590339885386e-01
2.049000000000000000e+03 1.283319632714613689e+00
4.097000000000000000e+03 2.067162115896829189e+00
8.193000000000000000e+03 2.904342690974421437e+00
1.638500000000000000e+04 3.886818946972695255e+00
3.276900000000000000e+04 5.471232584366117813e+00
