# size duration
4.799999999999804423e-04 1.006096234586122407e-01
1.199999999999812328e-04 1.466154333497779461e-02
3.599999999999992095e-04 7.004661385252781980e-02
4.800000000000081979e-04 1.313891207677733985e-01
2.399999999999902212e-04 5.975704698933781422e-02
2.399999999999902212e-04 3.807408173008609842e-02
2.400000000000179767e-04 3.059596094050557463e-02
2.400000000000179767e-04 3.910216633100486311e-02
3.599999999999992095e-04 4.863487790279148737e-02
2.399999999999902212e-04 7.531470660699768338e-02
3.599999999999992095e-04 8.069598769837534047e-02
2.399999999999902212e-04 3.223557591403935357e-02
2.400000000000179767e-04 4.953616183515631433e-02
3.599999999999992095e-04 7.358321621118965594e-02
2.399999999999902212e-04 3.404815788393558001e-02
4.799999999999804423e-04 7.816679445346662314e-02
2.400000000000179767e-04 6.883268863206662425e-02
3.599999999999992095e-04 1.215839671376004044e-01
8.400000000000074074e-04 1.981923555784450008e-01
2.399999999999902212e-04 4.105643966891682484e-02
2.400000000000179767e-04 4.443640699372712610e-02
2.400000000000179767e-04 3.438435418209521977e-02
1.199999999999812328e-04 1.413262463999792953e-02
2.400000000000179767e-04 3.795428811996018337e-02
1.200000000000089884e-04 2.345461529196968611e-02
3.599999999999992095e-04 6.078950858472427499e-02
3.599999999999992095e-04 7.005644049005838037e-02
1.200000000000089884e-04 1.745664019499512318e-02
3.599999999999992095e-04 7.329740828123651464e-02
3.599999999999992095e-04 8.492119329507728798e-02
4.800000000000081979e-04 9.108669698160720696e-02
1.200000000000089884e-04 1.778404920831485117e-02
4.799999999999804423e-04 1.188383624777888947e-01
1.200000000000089884e-04 1.933566311401285071e-02
3.599999999999992095e-04 6.029991748422720843e-02
2.399999999999902212e-04 5.001481527068483285e-02
2.399999999999902212e-04 3.754483673763440998e-02
2.399999999999902212e-04 6.437790313512603557e-02
1.200000000000089884e-04 1.524267552185510320e-02
1.200000000000089884e-04 1.521233959205591652e-02
3.599999999999714539e-04 9.906541173524992250e-02
4.799999999999804423e-04 9.535474977162987364e-02
2.400000000000179767e-04 3.139809057663415365e-02
1.200000000000089884e-04 1.597531093474029509e-02
3.599999999999714539e-04 8.594299881841035993e-02
1.200000000000089884e-04 1.541001830275213168e-02
3.599999999999714539e-04 6.667074699900639445e-02
2.400000000000179767e-04 3.055911480888967580e-02
2.400000000000179767e-04 3.918829228637029510e-02
2.400000000000179767e-04 3.901750308141434254e-02
3.600000000000269651e-04 9.940853353415414484e-02
2.400000000000179767e-04 3.935651409750967611e-02
4.799999999999804423e-04 8.333663026816777453e-02
3.600000000000269651e-04 5.917082011505458983e-02
1.200000000000089884e-04 1.502017037351975615e-02
2.400000000000179767e-04 6.764426237481906135e-02
3.600000000000269651e-04 6.946431746018624787e-02
2.399999999999624656e-04 4.064228307224698744e-02
1.200000000000089884e-04 1.534621791195472235e-02
1.200000000000089884e-04 1.621491164059557857e-02
2.399999999999624656e-04 4.625140473574845812e-02
2.400000000000179767e-04 3.806689581830979829e-02
7.199999999999984190e-04 1.490643119536675387e-01
2.399999999999624656e-04 3.192583618854965416e-02
3.600000000000269651e-04 5.545066251940974911e-02
2.400000000000179767e-04 3.497741128654553722e-02
3.599999999999714539e-04 7.487893970818465528e-02
2.400000000000179767e-04 3.785054875298556054e-02
3.600000000000269651e-04 6.580439688223543859e-02
2.400000000000179767e-04 7.023169513089497218e-02
3.600000000000269651e-04 1.038951982090344922e-01
1.200000000000089884e-04 1.770026077761432948e-02
2.399999999999624656e-04 3.531683228022891585e-02
4.799999999999804423e-04 1.034923358093963464e-01
2.399999999999624656e-04 3.933650466565073028e-02
1.200000000000089884e-04 1.773712452476016582e-02
1.200000000000089884e-04 1.768757969804269845e-02
2.399999999999624656e-04 4.046888454009082980e-02
3.599999999999714539e-04 1.318660576512067362e-01
1.200000000000089884e-04 1.407499592295880474e-02
3.600000000000269651e-04 6.628182767083200255e-02
1.199999999999534772e-04 1.637886703329791832e-02
2.400000000000179767e-04 6.203311609869006926e-02
2.400000000000179767e-04 5.294318632315032913e-02
2.399999999999624656e-04 8.106619229232725488e-02
3.599999999999714539e-04 1.161897804096188591e-01
1.200000000000089884e-04 2.332884873310482610e-02
4.799999999999804423e-04 1.074099146203897626e-01
1.200000000000089884e-04 1.766940804392508335e-02
2.399999999999624656e-04 4.610048655774696968e-02
1.199999999999534772e-04 1.688287661069960699e-02
4.799999999999804423e-04 1.749267283561170283e-01
3.600000000000269651e-04 8.704770424304017484e-02
3.599999999999714539e-04 5.063994709668589306e-02
3.599999999999714539e-04 1.112051192954419537e-01
2.400000000000179767e-04 5.295834083880563564e-02
2.400000000000179767e-04 4.703956317398394482e-02
2.400000000000179767e-04 4.085192546363018012e-02
3.599999999999714539e-04 6.254097564557481448e-02
2.400000000000179767e-04 4.908652390812498489e-02
1.200000000000089884e-04 3.021542021046531509e-02
1.200000000000089884e-04 2.139497829400003118e-02
1.200000000000089884e-04 1.835349544659510904e-02
5.999999999999894307e-04 1.393882180564258999e-01
1.200000000000089884e-04 1.392802303396502468e-02
2.399999999999624656e-04 4.540626521300522578e-02
7.200000000000539302e-04 1.071694783860439593e-01
1.199999999999534772e-04 1.393503747441411124e-02
2.400000000000179767e-04 4.943013629363521289e-02
2.399999999999624656e-04 6.262773409735537811e-02
2.399999999999624656e-04 3.169093838388406525e-02
3.599999999999714539e-04 8.608655211755335268e-02
3.599999999999714539e-04 9.490101822037889934e-02
2.400000000000179767e-04 5.206494880351002219e-02
2.399999999999624656e-04 6.630258244981826476e-02
2.400000000000179767e-04 4.432716769797200723e-02
2.400000000000179767e-04 4.970575145161020697e-02
2.400000000000179767e-04 2.976843742045491223e-02
3.600000000000269651e-04 7.775785820250516456e-02
1.200000000000089884e-04 1.604868311925984267e-02
2.400000000000179767e-04 5.660022256469807167e-02
1.199999999999534772e-04 2.682274458676162446e-02
4.799999999999804423e-04 9.602658137120413662e-02
2.400000000000179767e-04 6.601762274017514143e-02
2.399999999999624656e-04 3.987316755781919464e-02
1.200000000000089884e-04 1.721331331689505278e-02
5.999999999999894307e-04 1.492278973551323107e-01
3.599999999999714539e-04 6.227587070244801348e-02
1.200000000000089884e-04 1.461545938615156463e-02
1.199999999999534772e-04 1.835662108751466223e-02
2.399999999999624656e-04 6.331870419373092362e-02
4.799999999999804423e-04 1.271227613322380434e-01
4.800000000000359535e-04 7.698532262804519410e-02
4.799999999999804423e-04 1.119766129303762237e-01
1.200000000000089884e-04 2.226148086081469399e-02
2.400000000000179767e-04 5.558116346928605733e-02
3.599999999999714539e-04 1.028358421879967677e-01
2.399999999999624656e-04 4.448677603158975036e-02
1.200000000000089884e-04 1.498622466740980042e-02
1.200000000000089884e-04 2.214617964997224117e-02
4.800000000000359535e-04 1.334103324700699478e-01
2.400000000000179767e-04 6.000954108040472412e-02
2.400000000000179767e-04 4.613007118475517809e-02
1.200000000000089884e-04 1.557641606920442609e-02
1.200000000000089884e-04 2.036471305439008228e-02
2.400000000000179767e-04 3.221577229498442940e-02
2.400000000000179767e-04 4.357875931314984796e-02
2.400000000000179767e-04 3.260419407463963776e-02
2.400000000000179767e-04 3.157242785881510250e-02
2.400000000000179767e-04 5.128976619446437568e-02
1.200000000000089884e-04 1.492105118022979578e-02
3.599999999999714539e-04 6.820935786462106742e-02
1.200000000000089884e-04 1.437218441924886445e-02
2.400000000000179767e-04 3.622607156149572349e-02
3.599999999999714539e-04 7.057901136470187686e-02
1.200000000000089884e-04 2.151461122014517238e-02
2.400000000000179767e-04 3.425126729091740319e-02
2.399999999999624656e-04 4.655208450071618431e-02
3.600000000000269651e-04 7.985349198751617861e-02
2.400000000000179767e-04 3.845327503856094120e-02
6.000000000000449418e-04 1.037755427045777279e-01
1.199999999999534772e-04 1.910382021147002604e-02
2.399999999999624656e-04 6.012070883977441854e-02
5.999999999999894307e-04 1.422447236121345548e-01
1.200000000000089884e-04 3.054835773275506317e-02
4.799999999999804423e-04 6.103345905529536375e-02
1.200000000000089884e-04 1.405848173093024976e-02
2.400000000000179767e-04 4.244773202888985075e-02
2.400000000000179767e-04 6.539760561053040155e-02
2.400000000000179767e-04 5.870323262854046376e-02
2.399999999999624656e-04 6.142690600605638096e-02
5.999999999999894307e-04 1.169481389729529613e-01
3.600000000000269651e-04 7.721971297577005788e-02
2.400000000000179767e-04 4.145881768546974544e-02
1.200000000000089884e-04 2.647291975207010165e-02
2.400000000000179767e-04 4.522755696508266171e-02
2.400000000000179767e-04 4.176633801118506684e-02
5.999999999999894307e-04 1.671101958432585910e-01
3.600000000000269651e-04 7.188660369402059824e-02
5.999999999999894307e-04 1.265253637580204815e-01
2.400000000000179767e-04 3.241223774420514542e-02
2.400000000000179767e-04 6.241122049388070359e-02
3.599999999999714539e-04 6.649016783335645608e-02
2.399999999999624656e-04 3.721273881970065672e-02
1.200000000000089884e-04 1.659708790446959639e-02
3.600000000000269651e-04 4.560768673017599056e-02
3.600000000000269651e-04 1.147321162103304287e-01
7.199999999999984190e-04 2.191582962205889940e-01
4.799999999999804423e-04 1.317187527693776949e-01
1.200000000000089884e-04 2.278147479009024617e-02
2.400000000000179767e-04 3.423662449052100598e-02
2.399999999999624656e-04 7.868674914197223980e-02
9.600000000000163958e-04 2.564079921243988536e-01
2.400000000000179767e-04 5.911208191378965193e-02
5.999999999999894307e-04 1.372572334367025693e-01
1.200000000000089884e-04 1.460949028427050746e-02
2.400000000000179767e-04 3.204429885040495363e-02
2.400000000000179767e-04 4.314854583314535474e-02
2.400000000000179767e-04 5.611473117508967989e-02
1.200000000000089884e-04 1.615994231687965105e-02
1.200000000000089884e-04 1.484089388902497600e-02
2.400000000000179767e-04 5.914568046176012228e-02
2.400000000000179767e-04 5.063154360712943114e-02
7.199999999999984190e-04 2.100009153742934953e-01
2.400000000000179767e-04 4.835758410220018788e-02
1.200000000000089884e-04 1.612638520180514207e-02
2.399999999999624656e-04 3.356773522675015470e-02
3.600000000000269651e-04 7.980079520014508876e-02
3.599999999999714539e-04 5.193316458239163880e-02
2.400000000000179767e-04 4.459224386632892889e-02
3.600000000000269651e-04 8.645573576399497029e-02
3.599999999999714539e-04 6.378876711313113956e-02
3.600000000000269651e-04 8.079804854826500016e-02
2.399999999999624656e-04 4.511197593306490172e-02
3.599999999999714539e-04 1.026207836049959216e-01
2.400000000000179767e-04 5.007985954918488247e-02
1.200000000000089884e-04 1.409375791519389305e-02
9.600000000000163958e-04 1.888167766079085763e-01
1.199999999999534772e-04 2.025161630509916821e-02
2.400000000000179767e-04 4.133432813762501906e-02
4.799999999999804423e-04 9.354824965013365523e-02
2.400000000000179767e-04 4.054169780375492527e-02
2.400000000000179767e-04 6.085119980497392944e-02
3.600000000000269651e-04 6.683569887778451069e-02
2.400000000000179767e-04 3.156291994019939234e-02
2.399999999999624656e-04 3.841767422494318796e-02
2.400000000000179767e-04 5.057118818037562025e-02
1.200000000000089884e-04 1.671234290001471709e-02
5.999999999999894307e-04 1.303922836697563314e-01
2.400000000000179767e-04 4.586778678833981077e-02
2.400000000000179767e-04 4.257864014467572372e-02
3.599999999999714539e-04 9.692926490339283385e-02
2.399999999999624656e-04 3.681320148056224650e-02
2.400000000000179767e-04 4.601147427065525874e-02
2.400000000000179767e-04 2.910818082630517445e-02
4.799999999999804423e-04 1.634001459565150305e-01
2.400000000000179767e-04 4.457840180379075978e-02
3.599999999999714539e-04 7.009832960057714446e-02
3.600000000000269651e-04 8.325340023173424808e-02
2.400000000000179767e-04 4.648871905494945944e-02
2.400000000000179767e-04 5.835807396910969169e-02
2.400000000000179767e-04 7.703846624699664525e-02
3.600000000000269651e-04 7.096514156969330189e-02
3.599999999999714539e-04 5.638079794791953092e-02
1.200000000000089884e-04 1.590864656945751437e-02
3.599999999999714539e-04 1.101298461473405044e-01
1.200000000000089884e-04 1.447692054807360636e-02
2.399999999999624656e-04 4.765606779190348363e-02
3.600000000000269651e-04 7.152172507182459615e-02
4.799999999999804423e-04 9.236698477729182732e-02
1.200000000000089884e-04 1.604740960901970825e-02
4.799999999999804423e-04 1.390891623175428971e-01
1.200000000000089884e-04 1.786474438531021613e-02
7.199999999999984190e-04 1.569830772992071577e-01
1.199999999999534772e-04 1.999380778501112094e-02
3.600000000000269651e-04 6.921149972999622590e-02
3.600000000000269651e-04 8.987935540602036422e-02
1.200000000000089884e-04 3.727353553411509590e-02
2.400000000000179767e-04 3.673378552191976232e-02
2.399999999999624656e-04 4.158703134433579252e-02
3.599999999999714539e-04 5.757464110953184472e-02
3.600000000000269651e-04 7.547789512684988100e-02
1.200000000000089884e-04 1.495398731865027996e-02
2.400000000000179767e-04 3.795792253079002809e-02
1.200000000000089884e-04 1.698606223401959159e-02
2.399999999999069544e-04 4.243740793449460313e-02
1.200000000000089884e-04 1.435778291260014425e-02
3.600000000000269651e-04 9.021282969332496127e-02
1.200000000000089884e-04 1.704560279484980401e-02
1.200000000000089884e-04 2.709728887602467703e-02
3.600000000000269651e-04 8.114052948607985982e-02
1.200000000000089884e-04 1.374951630655968371e-02
1.200000000000089884e-04 1.496218732915508692e-02
2.400000000000179767e-04 5.304561311609014285e-02
2.400000000000179767e-04 4.384903504469934987e-02
2.400000000000179767e-04 5.816357318314548108e-02
2.400000000000179767e-04 6.158992791172447634e-02
2.400000000000179767e-04 5.054406295005509087e-02
1.200000000000089884e-04 1.939270472211486462e-02
3.600000000000269651e-04 6.955352721796556614e-02
2.400000000000179767e-04 3.090392872977054672e-02
1.199999999998979661e-04 2.753487919880748258e-02
3.599999999999159428e-04 9.777926599757033599e-02
2.400000000000179767e-04 2.996134990005468873e-02
1.200000000000089884e-04 1.676721932902999410e-02
2.399999999999069544e-04 4.710173799871421318e-02
2.400000000000179767e-04 3.983856385601036720e-02
1.200000000000089884e-04 1.430396833042983304e-02
1.200000000000089884e-04 1.545702309915998954e-02
2.400000000000179767e-04 4.819431974783958822e-02
1.199999999998979661e-04 2.160561929425381181e-02
2.400000000000179767e-04 4.905804720282005288e-02
2.400000000000179767e-04 6.806200997994049651e-02
1.200000000000089884e-04 1.452684046695001258e-02
1.199999999998979661e-04 1.798599130703280521e-02
3.600000000000269651e-04 5.448758998454461544e-02
2.400000000000179767e-04 4.004685444640543324e-02
2.400000000000179767e-04 3.444108847149497665e-02
2.400000000000179767e-04 3.854672240295001218e-02
4.800000000000359535e-04 1.402247253164400353e-01
1.200000000000089884e-04 2.162748773308036110e-02
2.400000000000179767e-04 7.313928565004479410e-02
3.600000000000269651e-04 6.955872652592678951e-02
3.600000000000269651e-04 1.490739743092150682e-01
5.999999999999339195e-04 1.362193620912287018e-01
4.800000000000359535e-04 8.457443501967508437e-02
3.600000000000269651e-04 1.394385730416298208e-01
5.999999999999339195e-04 1.214996207681775381e-01
3.599999999999159428e-04 1.329257122985217088e-01
2.399999999999069544e-04 3.502156309299477022e-02
1.200000000000089884e-04 1.888193127899506774e-02
1.200000000000089884e-04 2.489334269777519759e-02
2.400000000000179767e-04 5.033125746584968946e-02
4.800000000000359535e-04 1.383068225261449291e-01
2.400000000000179767e-04 4.659415544488503674e-02
2.400000000000179767e-04 5.202780741167498807e-02
2.400000000000179767e-04 3.490713044543451715e-02
2.400000000000179767e-04 2.838742903313484778e-02
3.600000000000269651e-04 6.925971161527037789e-02
3.600000000000269651e-04 6.752190750648905115e-02
1.199999999998979661e-04 1.619403530034205577e-02
1.200000000000089884e-04 1.358190867074008518e-02
2.400000000000179767e-04 3.403793966965968504e-02
3.600000000000269651e-04 8.419424654032486854e-02
1.200000000000089884e-04 1.440411990450999463e-02
3.600000000000269651e-04 1.062928737434100518e-01
3.600000000000269651e-04 8.700036801449514967e-02
1.200000000000089884e-04 1.376881918651002082e-02
1.200000000000089884e-04 1.364282907189510660e-02
4.800000000000359535e-04 1.101118011722248269e-01
3.600000000000269651e-04 6.796718754698755083e-02
2.399999999999069544e-04 3.988833843506044141e-02
4.800000000000359535e-04 8.058350280697995638e-02
2.400000000000179767e-04 6.142311344576477372e-02
2.400000000000179767e-04 4.935463535410212349e-02
4.800000000000359535e-04 1.258071536789202582e-01
1.200000000000089884e-04 1.414151043942020285e-02
1.200000000000089884e-04 1.742244996597022352e-02
3.600000000000269651e-04 1.058124560892097360e-01
4.800000000000359535e-04 1.156543673601600347e-01
3.600000000000269651e-04 1.105699247094448778e-01
3.600000000000269651e-04 5.155928994688976919e-02
2.400000000000179767e-04 4.624279003710003028e-02
2.400000000000179767e-04 3.535294098112516659e-02
4.800000000000359535e-04 1.432473733547699191e-01
