#grainID1 grainID2 x y phi1 Phi phi2 angle
0 3 -7.216773e-03 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 3 2.886709e-02 1.933728e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.138621e+01 -6.000202e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.134124e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.141396e+01 -5.995396e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
52 61 -4.816912e+01 -5.684359e+01 1.721238e+02 7.000076e+01 3.216161e+02 1.424591e+02
52 61 -4.815562e+01 -5.687774e+01 2.129902e+01 2.062389e+01 1.184757e+02 1.404518e+02
0 4 -5.142672e+01 -1.749974e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 4 -5.142672e+01 -1.249982e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 3 -8.660127e-02 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 3 -1.732025e-01 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 57 -2.598038e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 57 -2.589378e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 56 -2.234313e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 56 -2.242973e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
58 59 -3.810454e+01 -5.983364e+01 2.707029e+01 1.319655e+02 2.444196e+02 1.461022e+02
58 59 -3.808291e+01 -5.983662e+01 3.148288e+02 7.109460e+01 2.248446e+02 1.797342e+02
58 60 -4.016228e+01 -5.861098e+01 3.292212e+02 1.243233e+02 2.286182e+02 1.716957e+02
58 60 -4.014181e+01 -5.861003e+01 8.732839e+01 1.230367e+02 1.324951e+02 1.613063e+02
58 60 -4.018566e+01 -5.861205e+01 3.589954e+01 1.342268e+02 9.486958e+01 1.613551e+02
0 61 -5.142672e+01 -5.917413e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.922413e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.991549e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.987412e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.532419e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.537419e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
52 61 -4.818060e+01 -5.681675e+01 2.854743e+02 4.197022e+01 1.495157e+02 8.440370e+01
52 61 -4.819925e+01 -5.679440e+01 1.058973e+02 1.374770e+02 2.098016e+02 1.407500e+02
51 61 -4.837897e+01 -5.660543e+01 3.977050e+00 6.641933e+00 3.172506e+02 3.931560e+01
51 61 -4.840667e+01 -5.658045e+01 3.562683e+02 6.394801e+00 3.244181e+02 3.981001e+01
0 4 -5.118135e+01 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 4 -5.109475e+01 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 4 -5.142672e+01 -5.249923e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 4 -5.142672e+01 -4.749930e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 4 -5.142672e+01 -2.249967e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 4 -5.142672e+01 -2.749960e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
