# w mse
3.000000000000000000e+00 3.590562223343560710e-04
5.000000000000000000e+00 1.376873345149946196e-03
9.000000000000000000e+00 5.085391757807874481e-03
1.700000000000000000e+01 1.789144557198876773e-02
3.300000000000000000e+01 6.275513763374036824e-02
6.500000000000000000e+01 2.259091338795512494e-01
1.290000000000000000e+02 8.157582959932555555e-01
2.570000000000000000e+02 2.871688687328620482e+00
5.130000000000000000e+02 8.807744024201570099e+00
1.025000000000000000e+03 1.836024474534954010e+01
2.049000000000000000e+03 2.620762595409375351e+01
