# w mse
3.000000000000000000e+00 5.272791787027511501e-03
5.000000000000000000e+00 3.237238467763034824e-03
9.000000000000000000e+00 4.626718216503012716e-03
1.700000000000000000e+01 9.459002733410833141e-03
3.300000000000000000e+01 2.362005799606768652e-02
6.500000000000000000e+01 6.262934698493494157e-02
1.290000000000000000e+02 1.630329175903856009e-01
2.570000000000000000e+02 4.048802524785520829e-01
5.130000000000000000e+02 9.474697780218530596e-01
1.025000000000000000e+03 2.068680087485364805e+00
2.049000000000000000e+03 4.215294829657408648e+00
4.097000000000000000e+03 7.323124140481837685e+00
8.193000000000000000e+03 8.579672124835665770e+00
1.638500000000000000e+04 8.551092787749094981e+00
3.276900000000000000e+04 9.350063400171942263e+00
