# w mse
3.000000000000000000e+00 6.467653951983344876e-03
5.000000000000000000e+00 3.515402343872371920e-03
9.000000000000000000e+00 3.899904989100976948e-03
1.700000000000000000e+01 5.608455619096334999e-03
3.300000000000000000e+01 1.056511501027801794e-02
6.500000000000000000e+01 2.469279215035226349e-02
1.290000000000000000e+02 6.097364157285050518e-02
2.570000000000000000e+02 1.501603156479038859e-01
5.130000000000000000e+02 3.703474104852448878e-01
1.025000000000000000e+03 9.007297861103932268e-01
2.049000000000000000e+03 1.916067992794707076e+00
4.097000000000000000e+03 3.454278975093839410e+00
8.193000000000000000e+03 5.406347399727442493e+00
1.638500000000000000e+04 6.572084327413301175e+00
3.276900000000000000e+04 9.799613955572736401e+00
