# hist edge err
3.867927392695690969e+01 1.082636733874054076e-03 2.735037688512325005e+01
6.501364696578200153e+01 1.610262027560939316e-03 2.907498681613229863e+01
2.622659959816184738e+01 2.395026619987486016e-03 1.514193433792727461e+01
1.763308060650518883e+01 3.562247890262444216e-03 1.018046383480814043e+01
7.903567025829818959e+00 5.298316906283712970e-03 5.588665839526657741e+00
1.062770138566809308e+01 7.880462815669913093e-03 5.313850692834046541e+00
1.429076724139919818e+01 1.172102297533480532e-02 5.052549212375971877e+00
6.005121102176211423e+00 1.743328822199988887e-02 2.685571799516893510e+00
5.652440670787055588e+00 2.592943797404666934e-02 2.136421759349952154e+00
3.800337958355151535e+00 3.856620421163472340e-02 1.436392733686667311e+00
5.110206170710319462e+00 5.736152510448681158e-02 1.365760047612574635e+00
1.472474707324741061e+00 8.531678524172814360e-02 6.011352820166026012e-01
8.249978267330404513e-01 1.268961003167923540e-01 3.689502443729343328e-01
4.437404284768917684e-01 1.887391822135097708e-01 2.218702142384458842e-01
3.729281942561942786e-01 2.807216203941178545e-01 1.667785586166193879e-01
2.507329585425480123e-01 4.175318936560404870e-01 1.121311879001547912e-01
1.685767326465812121e-01 6.210169418915616468e-01 7.538980672451271736e-02
3.048105799184943829e-02 1.373823795883263754e+00 2.155336280377714506e-02
