# w mse
3.000000000000000000e+00 2.507908540779860140e-02
5.000000000000000000e+00 5.674001251517978711e-02
9.000000000000000000e+00 1.346607376170581294e-01
1.700000000000000000e+01 3.190579886316328717e-01
3.300000000000000000e+01 7.120826633068966238e-01
6.500000000000000000e+01 1.482013236143279178e+00
1.290000000000000000e+02 2.848582058878348811e+00
2.570000000000000000e+02 5.112856052454416655e+00
5.130000000000000000e+02 9.536255794113909445e+00
1.025000000000000000e+03 1.726498406608357783e+01
2.049000000000000000e+03 2.359370831412229919e+01
4.097000000000000000e+03 2.783171816627003636e+01
