# w mse
3.000000000000000000e+00 9.322280313215292741e-03
5.000000000000000000e+00 7.276670046769390283e-03
9.000000000000000000e+00 9.024137007966085908e-03
1.700000000000000000e+01 1.686219827331629159e-02
3.300000000000000000e+01 4.184524504162320108e-02
6.500000000000000000e+01 1.113002282161208445e-01
1.290000000000000000e+02 2.851227582286747775e-01
2.570000000000000000e+02 6.513709906621615309e-01
5.130000000000000000e+02 1.278959614080579010e+00
1.025000000000000000e+03 2.217631006646308744e+00
2.049000000000000000e+03 3.796287044155869594e+00
4.097000000000000000e+03 4.120719091244389176e+00
8.193000000000000000e+03 6.184527534637674684e+00
1.638500000000000000e+04 8.173295289188670765e+00
