# w mse
3.000000000000000000e+00 1.377353398757629995e-03
5.000000000000000000e+00 5.474450391716085412e-03
9.000000000000000000e+00 2.158673110935910994e-02
1.700000000000000000e+01 8.359705399038970530e-02
3.300000000000000000e+01 3.168091544970565998e-01
6.500000000000000000e+01 1.141197506528984551e+00
1.290000000000000000e+02 3.775396498468629236e+00
2.570000000000000000e+02 1.209112599154632406e+01
5.130000000000000000e+02 3.269086357965593947e+01
1.025000000000000000e+03 5.314175899105493528e+01
2.049000000000000000e+03 6.111426729663958923e+01
