#grainID	x	y	grainSize	perimeter	boundarySize	numNeighbors
299	-1.503408e+02	-7.719938e+01	1	2.771259e+00	6	4
300	-2.130498e+02	-6.266303e+01	639	1.108504e+02	240	5
301	-2.330342e+02	-6.961324e+01	290	6.281521e+01	136	6
302	-2.491164e+02	-7.594225e+01	7	1.016128e+01	22	1
303	-1.046150e+02	-7.799938e+01	1	2.771259e+00	6	3
304	-1.380053e+02	-7.165308e+01	164	7.759525e+01	194	13
305	-1.490311e+02	-7.566515e+01	73	4.803516e+01	111	8
306	-1.503408e+02	-7.799938e+01	1	2.771259e+00	6	3
307	-1.629806e+02	-6.841341e+01	344	8.590903e+01	186	6
308	-2.258576e+02	-7.759938e+01	1	2.771259e+00	6	2
309	-9.937374e+01	-7.439071e+01	92	3.972138e+01	86	4
310	-1.046150e+02	-7.879937e+01	1	2.771259e+00	6	3
311	-1.407983e+02	-7.463840e+01	159	6.835772e+01	148	9
312	-1.510336e+02	-7.839937e+01	1	2.771259e+00	6	3
313	-1.039222e+02	-7.919937e+01	1	2.771259e+00	6	3
314	-1.510336e+02	-7.919937e+01	1	2.771259e+00	6	2
315	-1.849081e+02	-7.629636e+01	66	3.602637e+01	78	4
316	-1.909398e+02	-7.711938e+01	30	2.217007e+01	48	4
317	-2.217896e+02	-6.948252e+01	390	8.313777e+01	180	9
318	-1.039222e+02	-7.999936e+01	1	2.771259e+00	6	3
319	-2.646552e+02	-7.999936e+01	1	2.771259e+00	6	2
320	-6.440701e+00	-6.500561e+01	663	9.404812e+01	177	6
321	-1.039222e+02	-8.079935e+01	1	2.771259e+00	6	2
322	-1.278936e+02	-7.919937e+01	10	1.200879e+01	26	4
323	-2.200002e+02	-7.981754e+01	11	1.293254e+01	28	3
324	-1.032294e+02	-8.199934e+01	1	2.771259e+00	6	2
325	-1.950433e+01	-7.343275e+01	348	6.928148e+01	150	4
326	-3.630098e+01	-5.368517e+01	2972	3.307036e+02	737	25
327	-1.032294e+02	-8.279934e+01	1	2.771259e+00	6	3
328	-1.032294e+02	-8.359933e+01	1	2.771259e+00	6	3
329	-1.796648e+02	-7.643984e+01	89	5.542518e+01	120	4
330	-2.376355e+02	-8.359933e+01	1	2.771259e+00	6	2
331	-1.206606e+01	-7.963776e+01	125	4.434015e+01	96	6
332	-1.032294e+02	-8.439932e+01	1	2.771259e+00	6	2
333	-1.715333e+02	-7.385694e+01	584	9.884157e+01	214	8
334	-1.635043e+02	-8.559931e+01	1	2.771259e+00	6	2
335	-2.368167e+02	-8.334479e+01	11	1.755131e+01	38	3
336	-3.745159e+01	-8.265077e+01	35	2.401758e+01	52	3
337	-1.025366e+02	-8.599931e+01	2	4.618765e+00	10	2
338	-1.628115e+02	-8.679930e+01	1	2.771259e+00	6	3
339	-1.025366e+02	-8.719930e+01	1	2.771259e+00	6	2
340	-2.508678e+02	-6.972992e+01	1076	1.367154e+02	319	17
341	-1.016128e+01	-8.473265e+01	24	2.217007e+01	48	3
342	-2.563187e+02	-8.007567e+01	304	9.145155e+01	198	5
343	-3.464074e+01	-8.959928e+01	1	2.771259e+00	6	4
344	-3.533355e+01	-8.999928e+01	1	2.771259e+00	6	3
345	-3.394792e+01	-9.079927e+01	1	2.771259e+00	6	3
346	-3.464074e+01	-9.039928e+01	1	2.771259e+00	6	5
347	-7.135992e+01	-9.079927e+01	1	2.771259e+00	6	4
348	-6.851918e+01	-7.600407e+01	1027	1.256304e+02	309	23
349	-1.621187e+02	-9.039928e+01	1	2.771259e+00	6	2
350	-7.135992e+01	-9.159927e+01	1	2.771259e+00	6	5
