# theta phi
1.473781212503706968e+02 6.125448801341116223e+01
-6.030084566636092802e+01 1.198459317035756158e+02
1.229983106930898771e+02 1.211675978315294344e+02
-3.262187874962931744e+01 1.187455119865888520e+02
1.196991543336390862e+02 6.015406829642439135e+01
-5.700168930691011582e+01 5.883240216847057269e+01
1.463261266294634311e+02 5.915780545012609082e+01
1.497773957187828273e+02 5.887414849218189516e+01
-1.429269333162583564e+02 5.960429765178265171e+01
-3.636381996561581786e+01 1.199822284401248140e+02
-3.858314573498794431e+01 5.711729605094021878e+01
-5.522029340652623830e+01 5.537739226802651871e+01
3.685667194273297298e+01 1.216926877354561327e+02
2.885371869664783517e+01 5.890083558550124110e+01
-2.920180603135608521e+01 1.240967718246625111e+02
-1.243032783886279589e+02 1.231308287674997501e+02
-5.884068055664510410e+01 1.202914771462757813e+02
5.608317708540180746e+01 6.058701646853965173e+01
-1.502240064363997192e+02 6.290377405053914828e+01
-3.102187311351786647e+01 1.218402437580043909e+02
-1.256283455335800454e+02 1.215525635859156068e+02
-3.798320334721444169e+01 1.222845812240554579e+02
1.246201109690505433e+02 1.221845769164377060e+02
1.465760704197209634e+02 1.225876420022936628e+02
-1.498527594937886249e+02 1.204580053725133837e+02
1.242103914836587535e+02 1.212243032301847308e+02
2.926282701706218603e+01 5.736497906596984819e+01
1.484164965296438936e+02 1.186606467866088082e+02
1.436757287742624385e+02 5.857090134653700630e+01
-1.385286587576706552e+02 6.173856592830704670e+01
-1.216986552173365226e+02 5.582701359569180966e+01
-3.173641615108821057e+01 1.204084605224056048e+02
-1.455873354692142243e+02 1.223823334748194185e+02
-3.367387337053656893e+01 1.208421945498739234e+02
-3.022260428121719045e+01 1.211258515078180977e+02
3.707306668374165071e+01 1.203957023482173412e+02
1.436361800343842106e+02 6.001777155987517887e+01
1.414168542650120912e+02 1.228827039490597741e+02
1.247797065934737759e+02 1.246226077319735026e+02
-1.431433280572670412e+02 5.830731226454388860e+01
-1.511462813033521684e+02 1.210991644144987589e+02
1.507981939686439148e+02 5.590322817533750310e+01
5.569672161137204114e+01 5.686917123250027828e+01
1.211593194433548888e+02 5.970852285372422585e+01
-1.239168229145981996e+02 1.194129835314603554e+02
2.977599356360028793e+01 1.170962259494608730e+02
1.489781268864821584e+02 5.815975624199561622e+01
5.437165446641994748e+01 5.844743641408441448e+01
1.420167966527855583e+02 5.771541877594455627e+01
-5.537988903094947091e+01 5.781542308356229398e+01
-3.342392958027905081e+01 5.741235799770635850e+01
3.014724050621136797e+01 5.954199462748664473e+01
-5.578960851634124651e+01 5.877569676981525504e+01
-1.507371729829378353e+02 1.226350209340301660e+02
-3.158350347035611705e+01 6.133935321339119895e+01
-3.632427122573756151e+01 1.214290986534630008e+02
4.147134124232934482e+01 1.182614340716929604e+02
5.830134478266349163e+01 1.241729864043081761e+02
1.482635838489117930e+02 5.959153947759439518e+01
3.441266453078578280e+01 5.761766652518059573e+01
1.458910756997217106e+02 1.214814694602045506e+02
1.515184596481461767e+02 5.756478433719185261e+01
1.177351559572870769e+02 5.773104183805316580e+01
-5.501259007238174092e+01 1.228175644146687233e+02
5.547456067275604852e+01 1.234689633743365249e+02
3.851157231942696768e+01 1.236689017342580144e+02
1.152377324905872769e+02 1.215919565785023622e+02
1.438139338338323228e+02 5.876809750000869315e+01
5.533208627207061880e+01 1.223215280804733851e+02
-3.407855758792157985e+01 5.584987211655733574e+01
1.219695206517410355e+02 5.693231609022137008e+01
-1.274007450124503293e+02 1.188845886676679555e+02
-1.406568646765305459e+02 5.607735277136440999e+01
5.457613047771879167e+01 6.073874760028109421e+01
-1.310702050747806595e+02 1.224342447396866476e+02
3.490464642024991093e+01 5.464861687699950465e+01
-3.332057892424684553e+01 1.202638091753005796e+02
1.195570876934405788e+02 5.542981740094673881e+01
-2.979803045033587594e+01 5.687239475739472994e+01
3.125373204101502367e+01 5.681493023110072471e+01
-1.207449575270824056e+02 6.006545588530693891e+01
1.414846740284293105e+02 1.227162480504618287e+02
1.475724347378904326e+02 5.986507126753295438e+01
1.467344492250230132e+02 1.255787288548735603e+02
3.979500558943453825e+01 1.218301593945435286e+02
1.513506108617636130e+02 5.652340359920199830e+01
1.249267972772875623e+02 5.573458133198206355e+01
-1.455096974783588735e+02 5.677569497103595353e+01
-4.946773909262369529e+01 5.657282008150563968e+01
-1.287013591181439551e+02 5.730015775412778822e+01
1.459914833712200561e+02 1.211681925865827480e+02
1.188419686614154926e+02 1.224145801170480183e+02
-1.499631060085232832e+02 1.237688708055974018e+02
1.277554882261633082e+02 1.229016502830683635e+02
-1.460818296654352650e+02 1.188473595139040526e+02
2.340281296951884826e+01 1.227385243228792575e+02
-3.739245721767307629e+01 1.236396879621016609e+02
1.217415560582408318e+02 5.718522441639240839e+01
-1.503891326933454025e+02 1.224764404447021064e+02
3.499376597558210733e+01 5.992680091049329860e+01
1.477439306136802770e+02 5.653410115966561023e+01
-3.410892430027830358e+01 5.851853053979547070e+01
-2.848154035185383393e+01 1.224352156628081474e+02
-6.226484404271293016e+01 1.222689581619468555e+02
1.249874099276182591e+02 5.718243558533130511e+01
-1.245254393272439586e+02 5.653103662566348930e+01
-1.414884276805730110e+02 5.633109826574198564e+01
-6.476226750941272314e+01 5.840804342149764494e+01
-3.618606616616767724e+01 1.212319024999913211e+02
-1.246679137279293883e+02 5.767847191952662200e+01
1.459214424120784201e+02 1.241501278834426785e+02
-5.803047934825898579e+01 1.230676839097786370e+02
5.259925498754967066e+01 6.111541133233204448e+01
3.934313532346946829e+01 1.239226472286356113e+02
-1.254238695222812083e+02 1.192612523997189129e+02
4.892979492521935470e+01 5.756575526031336665e+01
-1.450953535797500820e+02 1.253513831230005025e+02
1.466794210757531687e+02 5.973619082469942754e+01
-6.044291230655941405e+01 1.245701825990532825e+02
1.502019695496641134e+02 1.231276052426052843e+02
-1.487462679589849870e+02 1.231850697688992966e+02
5.925504247291762283e+01 1.199345441146930682e+02
-3.851532597157070370e+01 5.728375194953816418e+01
-3.242756526210956736e+01 1.201349287324670598e+02
-3.326555077497700097e+01 5.442127114512644681e+01
-1.402049944105654902e+02 5.816984060545647850e+01
-2.864938913823638700e+01 1.234765964007980159e+02
-5.507320272271245187e+01 1.242654186680179293e+02
3.449030252164111943e+01 1.232243050289640536e+02
1.305322609073762976e+02 1.234271799184943603e+02
5.129864088185603777e+01 1.226998422458722047e+02
-3.400851662877995807e+01 5.883180741341725195e+01
-6.115803133858450735e+01 5.758541988295199587e+01
3.003689399147672034e+01 5.623112919440260526e+01
-5.224451177383669886e+01 5.709834971693165073e+01
3.391817033456475627e+01 6.115264048609596159e+01
-1.565971870304811659e+02 5.726147567712074249e+01
1.426075427823269308e+02 5.636031203789833910e+01
-5.825844394175918950e+01 1.228147755836075987e+02
2.961086730665459754e+01 5.752355955529789355e+01
