# hist bin_edges error
3.316094523022306562e-01 5.080218046913020924e-01 1.309778588523468658e-02
8.886886339391929512e-01 7.626985859023445169e-01 1.749943208620078836e-02
2.855275873779105078e-01 1.145047569938281828e+00 8.095392041783342277e-03
1.612907891263573035e-01 1.719072201858574678e+00 4.965732684779292777e-03
6.303433389874624204e-02 2.580861540418075251e+00 2.533563789737656741e-03
3.052308628665434051e-02 3.874675120456132049e+00 1.438872086402359987e-03
1.626476688612076699e-02 5.817091329374361131e+00 8.572284828637686356e-04
7.914627917908088547e-03 8.733261623828436626e+00 4.880368646820726483e-04
2.846377582296131213e-03 1.311133937421564255e+01 2.388627005736513416e-04
1.134886692048424957e-03 1.968419447286613178e+01 1.230957448391825594e-04
8.359702899324991318e-04 2.955209235202887896e+01 8.622375182775030185e-05
3.435740820059216124e-04 4.436687330978615762e+01 4.511348713125135887e-05
