# w mse
3.000000000000000000e+00 2.261532982132086547e-02
5.000000000000000000e+00 4.561437248847029224e-02
9.000000000000000000e+00 1.066706165981377713e-01
1.700000000000000000e+01 2.449988236970372379e-01
3.300000000000000000e+01 5.516827217715830622e-01
6.500000000000000000e+01 1.163386328314448770e+00
1.290000000000000000e+02 2.247607020781151377e+00
2.570000000000000000e+02 3.983117422118013895e+00
5.130000000000000000e+02 7.279804559144888998e+00
1.025000000000000000e+03 1.462377851111535954e+01
2.049000000000000000e+03 2.463164856444690898e+01
4.097000000000000000e+03 2.600428778075410463e+01
