# theta phi size
-1.146109040306088787e+02 1.650552589289929699e+02 3.000000000000000000e+00
-2.500222522375213430e+01 7.286792619529747128e+01 3.000000000000000000e+00
1.478842101372434286e+02 6.013105825997777742e+01 3.000000000000000000e+00
-1.255442464964277178e+02 1.604672248822309655e+02 2.000000000000000000e+00
-1.146430821272959264e+02 1.650605198768552668e+02 3.000000000000000000e+00
-1.764395396260481448e+02 7.317761274743840261e+01 2.000000000000000000e+00
1.015292897775324548e+02 5.103820339738422263e+01 2.000000000000000000e+00
6.538909596939112134e+01 1.494474107100702476e+01 8.000000000000000000e+00
1.549977747762478657e+02 1.071320738047025429e+02 4.000000000000000000e+00
-3.211578986275658565e+01 1.198689417400222368e+02 5.000000000000000000e+00
5.445575350357228928e+01 1.953277511776903097e+01 2.000000000000000000e+00
6.535691787270410202e+01 1.493948012314475093e+01 2.000000000000000000e+00
3.560460373951869872e+00 1.068223872525616116e+02 1.800000000000000000e+01
-7.847071022246754524e+01 1.289617966026157774e+02 4.000000000000000000e+00
9.226276467647058155e+01 8.268298785773546911e+01 2.000000000000000000e+00
4.029640057847007029e+01 1.015655574793754568e+01 4.000000000000000000e+00
-1.094107994750464172e+02 3.170763628585151750e+01 3.000000000000000000e+00
-2.480939565967749871e+01 1.784927450763055390e+02 2.000000000000000000e+00
6.875496649861976550e+01 1.704881528359303786e+02 2.000000000000000000e+00
1.090993065432005977e+02 5.524060034564710975e+01 4.000000000000000000e+00
-3.537868849439649921e+01 1.071749924504277516e+02 2.000000000000000000e+00
1.613630436348142894e+02 1.117670887942961144e+02 2.000000000000000000e+00
4.029989799008573925e+01 1.014675411092227719e+01 2.000000000000000000e+00
-6.041571317068485314e+01 1.105484911465631903e+01 2.000000000000000000e+00
-1.062429861818720553e+02 1.624019716657687695e+02 2.000000000000000000e+00
-1.640642990999638187e+02 1.418811549249917903e+02 1.000000000000000000e+01
-9.137991591550022008e+01 6.632828232007292968e+01 8.000000000000000000e+00
1.398885248534123491e+02 1.124304778734261134e+02 1.600000000000000000e+01
1.479628293891930184e+02 9.744190360766032200e+01 1.600000000000000000e+01
1.101206634953844521e+00 9.464850992445569489e+01 4.000000000000000000e+00
9.314565943678040583e+00 1.786410776477445950e+02 3.000000000000000000e+00
-1.298690995769047447e+02 5.705648479405937223e+01 2.000000000000000000e+00
-6.717715958920375385e+01 1.163086059964756913e+02 1.000000000000000000e+01
9.233206721822659802e+01 8.264422681890948752e+01 3.000000000000000000e+00
-8.773723532352941845e+01 9.731701214226453089e+01 9.000000000000000000e+00
-1.397035994215299581e+02 1.698434442520624827e+02 3.000000000000000000e+00
7.058920052495358277e+01 1.482923637141484789e+02 2.000000000000000000e+00
1.551906043403225226e+02 1.507254923694455462e+00 2.000000000000000000e+00
-1.112450335013802203e+02 9.511847164069642702e+00 2.000000000000000000e+00
-7.090069345679943069e+01 1.247593996543528903e+02 4.000000000000000000e+00
1.446213115056035292e+02 7.282500754957223421e+01 2.000000000000000000e+00
-1.863695636518573906e+01 6.823291120570389978e+01 3.000000000000000000e+00
-1.397001020099142750e+02 1.698532458890777264e+02 2.000000000000000000e+00
1.195842868293151611e+02 1.689451508853437076e+02 2.000000000000000000e+00
7.375701381812794466e+01 1.759802833423125890e+01 2.000000000000000000e+00
1.593570090003619377e+01 3.811884507500824526e+01 2.000000000000000000e+00
8.862008408449977992e+01 1.136717176799270845e+02 2.000000000000000000e+00
-4.011147514658765800e+01 6.756952212657388657e+01 2.000000000000000000e+00
-3.203717061080698159e+01 8.255809639233967800e+01 2.000000000000000000e+00
-1.788987933650461741e+02 8.535149007554429090e+01 4.000000000000000000e+00
-1.706854340563219523e+02 1.358922352255428123e+00 9.000000000000000000e+00
5.013090042309524819e+01 1.229435152059406278e+02 4.000000000000000000e+00
1.128228404107962461e+02 6.369139400352431579e+01 1.600000000000000000e+01
-8.766793278177340198e+01 9.735577318109054090e+01 3.000000000000000000e+00
1.469390978251532829e+02 4.699969257350779372e+01 2.000000000000000000e+00
1.469330828946197300e+02 4.700615049532508039e+01 3.000000000000000000e+00
-1.548786325746434223e+01 3.299107924734857988e+01 1.000000000000000000e+01
1.399099311928654288e+02 1.213209108344321123e+02 6.000000000000000000e+00
-9.225450455175588615e+01 7.234708996753572308e+01 1.000000000000000000e+01
9.751812833092935762e+01 1.743955362477171889e+01 6.000000000000000000e+00
