# ezz df
0.000000000000000000e+00 0.000000000000000000e+00
9.999939110192368474e-04 0.000000000000000000e+00
1.999987822038695739e-03 0.000000000000000000e+00
2.999981733057932587e-03 0.000000000000000000e+00
3.999975644077391479e-03 0.000000000000000000e+00
4.999969555096628326e-03 0.000000000000000000e+00
5.999963466116087218e-03 0.000000000000000000e+00
6.999957377135324066e-03 0.000000000000000000e+00
7.999951288154782958e-03 0.000000000000000000e+00
8.999945199174019805e-03 0.000000000000000000e+00
9.999939110193256653e-03 0.000000000000000000e+00
1.099993302121271554e-02 0.000000000000000000e+00
1.199992693223195239e-02 0.000000000000000000e+00
1.299992084325141128e-02 0.000000000000000000e+00
1.399991475427064813e-02 0.000000000000000000e+00
1.499990866529010702e-02 0.000000000000000000e+00
1.599990257630934387e-02 0.000000000000000000e+00
1.699989648732880276e-02 0.000000000000000000e+00
1.799989039834803961e-02 0.000000000000000000e+00
1.899988430936727646e-02 0.000000000000000000e+00
1.999987822038673535e-02 0.000000000000000000e+00
2.099987213140597220e-02 0.000000000000000000e+00
2.199986604242543109e-02 0.000000000000000000e+00
2.299985995344466794e-02 0.000000000000000000e+00
2.399985386446412683e-02 0.000000000000000000e+00
2.499984777548336368e-02 0.000000000000000000e+00
2.599984168650282257e-02 0.000000000000000000e+00
2.699983559752205942e-02 0.000000000000000000e+00
2.799982950854129626e-02 0.000000000000000000e+00
2.899982341956075516e-02 0.000000000000000000e+00
2.999981733057999200e-02 0.000000000000000000e+00
3.099981124159945090e-02 0.000000000000000000e+00
3.199980515261868774e-02 0.000000000000000000e+00
3.299979906363814663e-02 0.000000000000000000e+00
3.399979297465738348e-02 0.000000000000000000e+00
3.499978688567662033e-02 0.000000000000000000e+00
3.599978079669607922e-02 0.000000000000000000e+00
3.699977470771531607e-02 0.000000000000000000e+00
3.799976861873477496e-02 0.000000000000000000e+00
3.899976252975401181e-02 0.000000000000000000e+00
3.999975644077347070e-02 0.000000000000000000e+00
4.099975035179270755e-02 0.000000000000000000e+00
4.199974426281216644e-02 0.000000000000000000e+00
4.299973817383140329e-02 0.000000000000000000e+00
4.399973208485064013e-02 0.000000000000000000e+00
4.499972599587009903e-02 0.000000000000000000e+00
4.599971990688933587e-02 0.000000000000000000e+00
4.699971381790879477e-02 0.000000000000000000e+00
